Year,Number of new cases
01/04/21,23351
01/03/21,24150
01/02/21,26301
01/01/21,27039
12/31/20,27747
12/30/20,26513
12/29/20,27002
12/28/20,27787
12/27/20,28284
12/26/20,29258
12/25/20,29018
12/24/20,29935
12/23/20,27250
12/22/20,28776
12/21/20,29350
12/20/20,28948
12/19/20,28209
12/18/20,28552
12/17/20,28214
12/16/20,26509
12/15/20,26689
12/14/20,27328
12/13/20,28080
12/12/20,28137
12/11/20,28585
12/10/20,27927
12/09/20,26190
12/08/20,26097
12/07/20,28142
12/06/20,29039
12/05/20,28782
12/04/20,27403
12/03/20,28145
12/02/20,25345
12/01/20,26402
11/30/20,26338
11/29/20,26683
11/28/20,27100
11/27/20,27543
11/26/20,25487
11/25/20,23675
11/24/20,24326
11/23/20,25173
11/22/20,24581
11/21/20,24822
11/20/20,24318
11/19/20,23610
11/18/20,20985
11/17/20,22410
11/16/20,22778
11/15/20,22572
11/14/20,22702
11/13/20,21983
11/12/20,21608
11/11/20,19851
11/10/20,20977
11/09/20,21798
11/08/20,20498
11/07/20,20396
11/06/20,20582
11/05/20,19404
11/04/20,19768
11/03/20,18648
11/02/20,18257
11/01/20,18665
10/31/20,18140
10/30/20,18283
10/29/20,17717
10/28/20,16202
10/27/20,16550
10/26/20,17347
10/25/20,16710
10/24/20,16521
10/23/20,17340
10/22/20,15971
10/21/20,15700
10/20/20,16319
10/19/20,15982
10/18/20,15099
10/17/20,14922
10/16/20,15150
10/15/20,13754
10/14/20,14231
10/13/20,13868
10/12/20,13592
10/11/20,13634
10/10/20,12846
10/09/20,12126
10/08/20,11493
10/07/20,11115
10/06/20,11615
10/05/20,10888
10/04/20,10499
10/03/20,9859
10/02/20,9412
10/01/20,8945
09/30/20,8481
09/29/20,8232
09/28/20,8135
09/27/20,7867
09/26/20,7523
09/25/20,7212
09/24/20,6595
09/23/20,6431
09/22/20,6215
09/21/20,6196
09/20/20,6148
09/19/20,6065
09/18/20,5905
09/17/20,5762
09/16/20,5670
09/15/20,5529
09/14/20,5509
09/13/20,5549
09/12/20,5488
09/11/20,5504
09/10/20,5363
09/09/20,5218
09/08/20,5099
09/07/20,5185
09/06/20,5195
09/05/20,5205
09/04/20,5110
09/03/20,4995
09/02/20,4952
09/01/20,4729
08/31/20,4993
08/30/20,4980
08/29/20,4941
08/28/20,4829
08/27/20,4711
08/26/20,4676
08/25/20,4696
08/24/20,4744
08/23/20,4852
08/22/20,4921
08/21/20,4870
08/20/20,4785
08/19/20,4828
08/18/20,4748
08/17/20,4892
08/16/20,4969
08/15/20,5061
08/14/20,5065
08/13/20,5057
08/12/20,5102
08/11/20,4945
08/10/20,5118
08/09/20,5189
08/08/20,5212
08/07/20,5241
08/06/20,5267
08/05/20,5204
08/04/20,5159
08/03/20,5394
08/02/20,5427
08/01/20,5462
07/31/20,5482
07/30/20,5509
07/29/20,5475
07/28/20,5395
07/27/20,5635
07/26/20,5765
07/25/20,5871
07/24/20,5811
07/23/20,5848
07/22/20,5862
07/21/20,5842
07/20/20,5940
07/19/20,6109
07/18/20,6234
07/17/20,6406
07/16/20,6428
07/15/20,6422
07/14/20,6248
07/13/20,6537
07/12/20,6615
07/11/20,6611
07/10/20,6635
07/09/20,6509
07/08/20,6562
07/07/20,6368
07/06/20,6611
07/05/20,6736
07/04/20,6632
07/03/20,6718
07/02/20,6760
07/01/20,6556
06/30/20,6693
06/29/20,6719
06/28/20,6791
06/27/20,6852
06/26/20,6800
06/25/20,7113
06/24/20,7176
06/23/20,7425
06/22/20,7600
06/21/20,7728
06/20/20,7889
06/19/20,7972
06/18/20,7790
06/17/20,7843
06/16/20,8248
06/15/20,8246
06/14/20,8835
06/13/20,8706
06/12/20,8987
06/11/20,8779
06/10/20,8404
06/09/20,8595
06/08/20,8985
06/07/20,8984
06/06/20,8855
06/05/20,8726
06/04/20,8831
06/03/20,8536
06/02/20,8863
06/01/20,9035
05/31/20,9268
05/30/20,8952
05/29/20,8572
05/28/20,8371
05/27/20,8338
05/26/20,8915
05/25/20,8946
05/24/20,8599
05/23/20,9434
05/22/20,8894
05/21/20,8849
05/20/20,8764
05/19/20,9263
05/18/20,8926
05/17/20,9709
05/16/20,9200
05/15/20,10598
05/14/20,9974
05/13/20,10028
05/12/20,10899
05/11/20,11656
05/10/20,11012
05/09/20,10817
05/08/20,10699
05/07/20,11231
05/06/20,10559
05/05/20,10102
05/04/20,10581
05/03/20,10633
05/02/20,9623
05/01/20,7933
04/30/20,7099
04/29/20,5841
04/28/20,6411
04/27/20,6198
04/26/20,6361
04/25/20,5966
04/24/20,5849
04/23/20,4774
04/22/20,5236
04/21/20,5642
04/20/20,4268
04/19/20,6060
04/18/20,4785
04/17/20,4070
04/16/20,3448
04/15/20,3388
04/14/20,2774
04/13/20,2558
04/12/20,2186
04/11/20,1667
04/10/20,1786
04/09/20,1459
04/08/20,1175
04/07/20,1154
04/06/20,954
04/05/20,658
04/04/20,582
04/03/20,601
04/02/20,771
04/01/20,440
03/31/20,500
03/30/20,303
03/29/20,270
03/28/20,228
03/27/20,196
03/26/20,182
03/25/20,163
03/24/20,57
03/23/20,71
03/22/20,61
03/21/20,53
03/20/20,54
03/19/20,52
03/18/20,33
03/17/20,21
03/16/20,30
03/15/20,4
03/14/20,14
03/13/20,11
03/12/20,6
03/11/20,8
03/09/20,3
03/08/20,3
03/07/20,4
03/06/20,6
03/05/20,1
02/03/20,1
01/31/20,2
