Month,Index number of sales per week
Jun 20,68.8
May 20,40.4
Apr 20,31.0
Mar 20,60.9
Feb 20,109.2
Jan 20,111.7
Dec 19,104.9
Nov 19,109.0
Oct 19,106.6
Sep 19,107.7
Aug 19,108.8
Jul 19,107.1
Jun 19,103.7
May 19,102.5
Apr 19,103.4
Mar 19,99.0
Feb 19,105.3
Jan 19,102.8
Dec 18,97.8
Nov 18,97.3
Oct 18,94.9
Sep 18,95.9
Aug 18,97.8
Jul 18,103.2
Jun 18,98.1
May 18,100.6
Apr 18,95.4
Mar 18,99.4
Feb 18,101.8
Jan 18,99.8
Dec 17,104.4
Nov 17,103.5
Oct 17,103.2
Sep 17,111.5
Aug 17,102.2
Jul 17,105.2
Jun 17,107.7
May 17,104.0
Apr 17,105.2
Mar 17,105.1
Feb 17,99.0
Jan 17,97.6
Dec 16,101.0
Nov 16,102.6
Oct 16,101.8
Sept 16,98.7
Aug 16,100.3
Jul 16,107.2
Jun 16,95.0
May 16,101.4
Apr 16,100.8
Mar 16,99.5
Feb 16,92.7
Jan 16,97.2
