Response,Share of respondents
Read the privacy policy of an app before I downloaded it,44%
"Updated critical software, such as OS or browser",44%
Un-friended someone,41%
Deleted a post I had second thoughts about,39%
Deleted a post or email that I thought was a phishing attempt**,39%
Backed up the data on my laptop or desktop,37%
Updated security software with the latest version for my computer,34%
Searched my name on the internet,32%
Did not download an app because of privacy considerations,31%
Abandoned a purchase online because of security or privacy concerns,31%
Backed up data on my mobile devices,29%
Added PIN/password to a mobile device that did not have one,28%
Added a security software program to a device that did not have one,25%
Deleted an online account I no longer use,25%
Asked someone to delete a post with information about me,12%
Read an article or visited a website specifically to learn about online safety,12%
None,9%
