basketball team,Facebook fans in millions
NBA*,38.54
Los Angeles Lakers,21.9
Chicago Bulls,17.42
Miami Heat,14.96
Houston Rockets,14.84
Golden State Warriors,11.6
Boston Celtics,8.88
Cleveland Cavaliers,8.37
Sacramento Kings,7.83
San Antonio Spurs,6.93
Oklahoma City Thunder,6.91
New York Knicks,5.72
Washington Wizards,4.77
Dallas Mavericks,4.35
Los Angeles Clippers,3.78
Indiana Pacers,3.18
Brooklyn Nets,2.72
Orlando Magic,2.7
Toronto Raptors,2.65
Portland Trailblazers,2.43
Detroit Pistons,2.04
Denver Nuggets,1.99
Milwaukee Bucks,1.91
Phoenix Suns,1.86
Minnesota Timberwolves,1.85
Utah Jazz,1.81
Memphis Grizzlies,1.79
New Orleans Pelicans,1.76
Philadelphia 76ers,1.75
Charlotte Hornets,1.71
Atlanta Hawks,1.59
