Response,Share of respondents
"Do not need this, my health is good / the body itself can fight",29%
Do not believe in its effectiveness,23%
The vaccination would do more harm than good to the body**,20%
Do not trust vaccines / do not know what would be injected,11%
"Cannot due to my health condition, there are contraindications / allergy",8%
Not used to getting a flu vaccine,6%
Hope I would not get sick,5%
No time,3%
"Engage in self-treatment, use folk remedies",3%
Have done it recently,2%
No financial possibility,1%
Do not trust doctors / our medicine,1%
Do not know where to get informed about it,1%
"Procedure is unpleasant, scared of injections",1%
