Metropolitan area,Percentage of households
"Bridgeport-Stamford-Norwalk, CT",17.9%
"San Jose-Sunnyvale-Santa Clara, CA",15.9%
"Washington-Arlington-Alexandria, DC-VA-MD-WV",14.1%
"San Francisco-Oakland-Fremont, CA",13%
"Trenton-Ewing, NJ",11.6%
"New York-Northern New Jersey-Long Island, NY-NJ-PA",10%
"Oxnard-Thousand Oaks-Ventura, CA",9.7%
"Boston-Cambridge-Quincy, MA-NH",9.7%
"Boulder, CO",9.4%
"Napa, CA",9.3%
"Santa Cruz-Watsonville, CA",9%
"Naples-Marco Island, FL",8.8%
"Baltimore-Towson, MD",8%
"Midland, TX",7.9%
"Los Angeles-Long Beach-Santa Ana, CA",7.9%
"Santa Barbara-Santa Maria-Goleta, CA",7.4%
"Hartford-West Hartford-East Hartford, CT",7.4%
"San Diego-Carlsbad-San Marcos, CA",7.3%
"Seattle-Tacoma-Bellevue, WA",7.1%
"Honolulu, HI",7%
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6.9%
"Anchorage, AK",6.9%
"Santa Rosa-Petaluma, CA",6.8%
"Houston-Sugar Land-Baytown, TX",6.8%
"Chicago-Joliet-Naperville, IL-IN-WI",6.8%
