NBA player,Number of assists
John Stockton,15806
Jason Kidd,12091
Steve Nash,10335
Mark Jackson,10334
Magic Johnson,10141
Oscar Robertson,9887
Chris Paul,9653
LeBron James,9346
Isiah Thomas,9061
Gary Payton,8966
Andre Miller,8524
Rod Strickland,7987
Maurice Cheeks,7392
Russell Westbrook,7298
Rajon Rondo,7215
Lenny Wilkens,7211
Terry Porter,7160
Tim Hardaway,7095
Tony Parker,7036
Bob Cousy,6955
Guy Rodgers,6917
Deron Williams,6819
Muggsy Bogues,6726
Kevin Johnson,6711
Derek Harper,6577
Nate Archibald,6476
Stephon Marbury,6471
John Lucas,6454
Reggie Theus,6453
Norm Nixon,6386
Kobe Bryant,6306
