Month,Number of tests
"Nov 26, 2020",4034
"Nov 25, 2020",17404
"Nov 24, 2020",19313
"Nov 23, 2020",25709
"Nov 22, 2020",8383
"Nov 21, 2020",8299
"Nov 20, 2020",18153
"Nov 19, 2020",19392
"Nov 18, 2020",21593
"Nov 17, 2020",21824
"Nov 16, 2020",28495
"Nov 15, 2020",10970
"Nov 14, 2020",9919
"Nov 13, 2020",22175
"Nov 12, 2020",23681
"Nov 11, 2020",23865
"Nov 10, 2020",25710
"Nov 9, 2020",31134
"Nov 8, 2020",11758
"Nov 7, 2020",12572
"Nov 6, 2020",27381
"Nov 5, 2020",27862
"Nov 4, 2020",25879
"Nov 3, 2020",27345
"Nov 2, 2020",28036
"Nov 1, 2020",9790
"Oct 31, 2020",9663
"Oct 30, 2020",20730
"Oct 29, 2020",21111
"Oct 28, 2020",21365
"Oct 27, 2020",21081
"Oct 26, 2020",23635
"Oct 25, 2020",7826
"Oct 24, 2020",7549
"Oct 23, 2020",15498
"Oct 22, 2020",15464
"Oct 21, 2020",16096
"Oct 20, 2020",16849
"Oct 19, 2020",20468
"Oct 18, 2020",6372
"Oct 17, 2020",5885
"Oct 16, 2020",12965
"Oct 15, 2020",13700
"Oct 14, 2020",15143
"Oct 13, 2020",15694
"Oct 12, 2020",19616
"Oct 11, 2020",6420
"Oct 10, 2020",5853
"Oct 9, 2020",12612
"Oct 8, 2020",13025
"Oct 7, 2020",14204
"Oct 6, 2020",14902
"Oct 5, 2020",19055
"Oct 4, 2020",5993
"Oct 3, 2020",5731
"Oct 2, 2020",12979
"Oct 1, 2020",12856
"Sep 30, 2020",14793
"Sep 29, 2020",15370
"Sep 28, 2020",19013
"Sep 27, 2020",5919
"Sep 26, 2020",5954
"Sep 25, 2020",13745
"Sep 24, 2020",14310
"Sep 23, 2020",16200
"Sep 22, 2020",16683
"Sep 21, 2020",20610
"Sep 20, 2020",5747
"Sep 19, 2020",5794
"Sep 18, 2020",13969
"Sep 17, 2020",15177
"Sep 16, 2020",17558
"Sep 15, 2020",18947
"Sep 14, 2020",21315
"Sep 13, 2020",6696
"Sep 12, 2020",7019
"Sep 11, 2020",14757
"Sep 10, 2020",15613
"Sep 9, 2020",17758
"Sep 8, 2020",18794
"Sep 7, 2020",20706
"Sep 6, 2020",6344
"Sep 5, 2020",5958
"Sep 4, 2020",15374
"Sep 3, 2020",17421
"Sep 2, 2020",19003
"Sep 1, 2020",20310
"Aug 31, 2020",22492
"Aug 30, 2020",6727
"Aug 29, 2020",6310
"Aug 28, 2020",16317
"Aug 27, 2020",17181
"Aug 26, 2020",18714
"Aug 25, 2020",19265
"Aug 24, 2020",20991
"Aug 23, 2020",6899
"Aug 22, 2020",6770
"Aug 21, 2020",15022
"Aug 20, 2020",15534
"Aug 19, 2020",16427
"Aug 18, 2020",16864
"Aug 17, 2020",18183
"Aug 16, 2020",5281
"Aug 15, 2020",6013
"Aug 14, 2020",13724
"Aug 13, 2020",13195
"Aug 12, 2020",13401
"Aug 11, 2020",12956
"Aug 10, 2020",13391
"Aug 9, 2020",3162
"Aug 8, 2020",3294
"Aug 7, 2020",8400
"Aug 6, 2020",8626
"Aug 5, 2020",8705
"Aug 4, 2020",8406
"Aug 3, 2020",9292
"Aug 2, 2020",1897
"Aug 1, 2020",2107
"Jul 31, 2020",5430
"Jul 30, 2020",5538
"Jul 29, 2020",5852
"Jul 28, 2020",5883
"Jul 27, 2020",6839
"Jul 26, 2020",1467
"Jul 25, 2020",1701
"Jul 24, 2020",4506
"Jul 23, 2020",4470
"Jul 22, 2020",4860
"Jul 21, 2020",4792
"Jul 20, 2020",5953
"Jul 19, 2020",1344
"Jul 18, 2020",1410
"Jul 17, 2020",4106
"Jul 16, 2020",4539
"Jul 15, 2020",5354
"Jul 14, 2020",5223
"Jul 13, 2020",6285
"Jul 12, 2020",1195
"Jul 11, 2020",1376
"Jul 10, 2020",4641
"Jul 09, 2020",4715
"Jul 08, 2020",5221
"Jul 07, 2020",5315
"Jul 06, 2020",6249
"Jul 05, 2020",1189
"Jul 04, 2020",1421
"Jul 03, 2020",4464
"Jul 02, 2020",4690
"Jul 01, 2020",5075
"Jun 30, 2020",4975
"Jun 29, 2020",5883
"Jun 28, 2020",986
"Jun 27, 2020",1109
"Jun 26, 2020",3903
"Jun 25, 2020",4152
"Jun 24, 2020",4596
"Jun 23, 2020",4656
"Jun 22, 2020",5030
"Jun 21, 2020",1028
"Jun 20, 2020",1058
"Jun 19, 2020",3796
"Jun 18, 2020",4553
"Jun 17, 2020",4980
"Jun 16, 2020",5449
"Jun 15, 2020",5845
"Jun 14, 2020",1133
"Jun 13, 2020",1244
"Jun 12, 2020",4628
"Jun 11, 2020",4868
"Jun 10, 2020",4558
"Jun 09, 2020",5660
"Jun 08, 2020",5748
"Jun 07, 2020",933
