Response,Share of internet users
Kenya,87.2%
Libya,74.2%
Seychelles,72.5%
Mauritius,67%
Tunisia,66.8%
Morocco,64.3%
Cabo Verde,63.3%
Reunion (FR),61.8%
Mali,61.6%
Nigeria,61.2%
Gabon,58.8%
Senegal,58.2%
Algeria,58%
Eswatini,57.3%
Zimbabwe,56.5%
Djibouti,55.5%
South Africa,55%
Zambia,53.7%
Namibia,53%
Egypt,48.1%
Botswana,47.5%
Rwanda,46.2%
Cote d'Ivoire,45.3%
Uganda,40.4%
Mayotte (FR),39.6%
Tanzania,38.7%
Ghana,37.8%
Saint Helena (UK),37.8%
Lesotho,31.9%
Benin,31.4%
Sudan,29.9%
Sao Tome & Principe,29.1%
Equatorial Guinea,25.4%
Cameroon,23.1%
Angola,21.5%
Mozambique,20.9%
Mauritania,20.9%
Comoros,20.5%
Guinea,18.4%
Gambia,18.3%
Ethiopia,17.8%
Burkina Faso,17.7%
Malawi,14.2%
Central African Republic,13.6%
Congo,13.3%
Sierra Leone,13.1%
Guinea-Bissau,12.7%
Liberia,12.3%
Togo,12.2%
Niger,11.5%
Somalia,10.7%
Burundi,9.7%
Madagascar,9.5%
"Congo, Democratic Republic",8.3%
Eritrea,8.3%
South Sudan,7.9%
Chad,6.3%
Western Sahara,4.7%
