Response,Share of respondents
TV,77%
Computer (NET),57%
PC Laptop,38%
PC Desktop computer,25%
Tablet (NET),25%
iPad,17%
Games console (NET),14%
Apple iPhone,10%
Android smartphone,8%
Android tablet,6%
PS3,5%
Xbox 360,5%
Nintendo Wii,5%
MacBook,4%
None of these,4%
iPod touch,3%
Netbook,3%
Apple TV,2%
Other tablet,2%
Streaming devices (NET),2%
iPad mini,2%
Apple Desktop computer,2%
Blackberry/ Windows smartphone (NET),1%
Windows smartphone,1%
Roku,0%
Slingbox,0%
Other games console,0%
BlackBerry smartphone,0%
