Industry,Real value added in billion chained (2012) U.S. dollars
"Mining, quarrying, and oil and gas extraction",262.2
"Finance, insurance, real estate, rental, and leasing",244.05
Manufacturing,241.14
Professional and business services,203.76
Government and government enterprises,164.31
Wholesale trade,125.33
"Educational services, health care, and social assistance",114.9
Retail trade,93.34
Information,72.35
Construction,71.78
Transportation and warehousing,56.12
"Arts, entertainment, recreation, accommodation, and food services",50.63
Utilities,26.92
"Agriculture, forestry, fishing, and hunting",13.52
