Company name,CEO-to-worker compensation ratio
JC Penney Co.,1795
Abercrombie & Fitch Co.,1640
Simon Property Group Inc.,1594
Oracle Corp.,1287
Starbucks Corp.,1135
CBS Corp.,1111
Ralph Lauren Corp.,1083
NIKE Inc.,1050
Discovery Communications Inc.,833
Yum! Brands Inc.,819
Chipotle Mexican Grill Inc.,778
McKesson Corp.,733
Target Corp.,664
L Brands Inc.,656
eBay Inc.,656
Honeywell International Inc.,633
Walt Disney Co.,613
Wal-Mart Stores Inc.,611
3M Co.,604
Macy's Inc.,595
American Express Co.,590
Coca-Cola Co.,580
Pall Corp.,578
Mondelez International Inc.,565
Exxon Mobil Corp.,524
Tyco International Ltd.,522
Viacom Inc.,510
Altera Corp.,506
Wynn Resorts Ltd.,499
General Electric Co.,491
Medtronic Inc.,485
Freeport-McMoRan Copper & Gold Inc.,479
Wells Fargo & Co.,473
Capital One Financial Corp.,468
News Corp.,457
Comcast Corp.,428
Ross Stores Inc.,426
VF Corp.,423
Coach Inc.,419
ConocoPhillips,416
Time Warner Inc.,412
Johnson Controls Inc.,409
Philip Morris International Inc.,407
Goodyear Tire & Rubber Co.,407
Occidental Petroleum Corp.,406
HJ Heinz Co.,405
Pfizer Inc.,394
Eaton Corp. PLC,394
LyondellBasell Industries NV,392
Ford Motor Co.,390
