Year,Gross domestic product in billion international dollars
2021*,3479.34
2020*,3316.92
2019,3480.55
2018,3382.59
2017,3259.36
2016,3157.63
2015,3231.41
2014,3315.85
2013,3239.23
2012,3090.41
2011,2974.9
2010,2802.32
2009,2575.7
2008,2559.27
2007,2388.73
2006,2193.24
2005,2047.82
2004,1924.53
2003,1772.06
2002,1720.16
2001,1643.21
2000,1586.02
1999,1486.2
1998,1458.22
1997,1437.04
1996,1366.25
1995,1339.24
1994,1258.48
1993,1164.19
1992,1084.02
1991,1065.79
1990,1020.39
1989,1026.37
1988,957.02
1987,921.98
1986,868.46
1985,791.6
1984,711.14
