association football club,Value in million U.S. dollars
Clube de Regatas do Flamengo,142.9
Grêmio Foot-Ball Porto Alegrense,138.34
Sociedade Esportiva Palmeiras,135.03
São Paulo Futebol Clube,98.67
Sport Club Corinthians Paulista,93.31
Sport Club Internacional,73.76
Santos FC,72.39
Fluminense Football Club,66.8
Clube Atlético Mineiro,64.24
Cruzeiro Esporte Clube,57.06
Club de Regatas Vasco da Gama,53.18
Club Athletico Paranaense,45.77
Esporte Clube Bahia,35.51
Botafogo Rio de Janeiro,34.2
Associação Chapecoense de Futebol,29.07
Fortaleza Esporte Clube,27.36
Goiás Esporte Clube,25.28
Ceará Sporting Club,23.54
Centro Sportivo Alagoano (AL),21.55
Avaí Futebol Clube (SC),16.87
