Year,Number of degree recipients in thousands
2029-30*,1007.0
2028-29*,1006.0
2027-28*,1005.0
2026-27*,1002.0
2025-26*,998.0
2024-25*,995.0
2023-24*,992.0
2022-23*,989.0
2021-22*,986.0
2020-21*,983.0
2019-20*,981.0
2018-19*,977.0
2017-18,1011.49
2016-17,1005.16
2015-16,1008.23
2014-15,1014.34
2013-14,1005.16
2012-13,1007.43
2011-12,1021.72
2010-11,943.51
2009-10,848.86
2008-09,787.24
2007-08,750.17
2006-07,727.62
2005-06,713.32
2004-05,696.66
2003-04,665.3
2002-03,634.02
2001-02,595.13
2000-01,578.87
1999-00,564.93
1989-90,455.1
1979-80,400.91
1969-70,206.02
