Year,GDP per capita in U.S. dollars
2025*,1179.76
2024*,1144.97
2023*,1099.17
2022*,1051.93
2021*,992.31
2020*,899.22
2019*,907.25
2018*,915.64
2017,853.57
2016,803.3
2015,772.64
2014,872.03
2013,827.35
2012,801.08
2011,861.69
2010,732.45
2009,721.98
2008,716.36
2007,616.72
2006,539.58
2005,504.79
2004,453.97
2003,404.83
2002,345.48
2001,316.17
2000,277.78
1999,331.77
1998,329.01
1997,325.45
1996,355.7
1995,356.81
1994,282.77
1993,379.11
1992,389.75
1991,387.97
1990,387.84
1989,345.59
1988,287.08
1987,290.08
1986,252.94
1985,185.35
