Leading companies,Turnover in million SEK
Peab AB,52233
Alfa Laval AB,40666
Sony Mobile Communications AB,35374
Trelleborg AB,34005
AAK AB (publ),27592
"Tetra Pak, AB",17019
Hexpol AB,13770
Beijer Ref AB (publ),13015
Bergendahl & Son AB,12988
Perstorp Holding AB,12436
Mercedes-Benz Sverige AB,11074
E.ON Energilösningar AB,10956
Höganäs Holding AB,10361
Hilding Anders Holdings 3 AB,10326
E. ON Sverige AB,10142
Lindab International AB,9326
Axis Communications AB,8531
E.ON Energidistribution AB,8301
Stora Enso Paper AB,8149
Nolato AB,8102
