Country,Mortgage interest rate
Algeria,10%
Angola,16%
Benin*,-
Botswana,8%
Burkina Faso*,-
Burundi*,-
Cameroon,20%
Cape Verde,15%
Central African Republic,15%
Chad,12%
Comoros,11%
Congo Republic,20%
Cote d'Ivoire,8.38%
Democratic Republic of Congo,14%
Djibouti,7%
Egypt,7%
Equatorial Guinea,15%
Eritrea,10%
eSwatini,10%
Ethiopia,18%
Gabon,3%
Gambia,17%
Ghana,34%
Guinea,33%
Guinea Bissau,11%
Kenya,14%
Lesotho,12%
Liberia,13%
Libya,6%
Madagascar,20%
Malawi,20%
Mali,9%
Mauritania,8%
Mauritius,19%
Morocco,8%
Mozambique,28%
Namibia,13%
Niger,7%
Nigeria,25%
Rwanda,18%
Sao Tome and Principe,7%
Senegal,8%
Seychelles,11%
Sierra Leone,23%
Somalia,10%
South Africa,12%
South Sudan,25%
Sudan,14%
Tanzania,19%
Togo,7%
Tunisia,8%
Uganda,20%
Western Sahara*,-
Zambia,29%
Zimbabwe,12%
