Response,Share of respondents
Attitudes towards my appearance,59%
Attitides towards my interests or hobbies,46%
Attitides towards the clothes I wear,25%
Being accused of being gay/lesbian when I'm not,24%
Attitides towards my high grades,20%
Attitides towards my mannerisms,19%
Attitides towards my low grades,15%
Attitides towards a disability I have,13%
Attitides towards my sexuality,10%
Attitides towards low household income,9%
Attitides towards my race,9%
Attitides towards my culture,9%
Attitides towards high household income,8%
Attitides towards my religion,8%
Attitides towards my gender identity,5%
