Month,Blockchain size in gigabytes
"Jan 05, 2021",312.46
"Jan 04, 2021",312.24
"Jan 03, 2021",312.04
"Jan 02, 2021",311.83
"Jan 01, 2021",311.63
Dec 2020,311.43
Nov 2020,305.82
Oct 2020,300.32
Sep 2020,294.8
Aug 2020,289.34
Jul 2020,283.87
Jun 2020,278.56
May 2020,273.47
Apr 2020,267.91
Mar 2020,263.23
Feb 2020,258.8
Jan 2020,254.18
Dec 2019,249.85
Nov 2019,245.61
Oct 2019,241.14
Sep 2019,236.36
Aug 2019,231.73
Jul 2019,227.11
Jun 2019,222.29
May 2019,216.98
Apr 2019,211.03
Mar 2019,205.96
Feb 2019,201.6
Jan 2019,197.53
Dec 2018,193.06
Nov 2018,189.0
Oct 2018,184.89
Sep 2018,181.04
Aug 2018,177.5
Jul 2018,173.62
Jun 2018,169.84
May 2018,166.26
Apr 2018,163.01
Mar 2018,159.76
Feb 2018,155.65
Jan 2018,151.52
Dec 2017,146.43
Nov 2017,140.9
Oct 2017,136.51
Sep 2017,132.21
Aug 2017,128.3
Jul 2017,124.41
Jun 2017,119.92
May 2017,115.61
Apr 2017,111.17
Mar 2017,107.04
Feb 2017,102.86
Jan 2017,98.65
Dec 2016,94.66
Nov 2016,90.78
Oct 2016,86.98
Sep 2016,83.08
Aug 2016,79.75
Jul 2016,76.35
Jun 2016,73.1
May 2016,69.53
Apr 2016,65.82
Mar 2016,62.59
Feb 2016,59.51
Jan 2016,56.16
Dec 2015,53.16
Nov 2015,50.13
Oct 2015,47.59
Sep 2015,45.02
Aug 2015,42.64
Jul 2015,40.53
Jun 2015,38.0
May 2015,36.08
Apr 2015,34.25
Mar 2015,32.57
Feb 2015,30.9
Jan 2015,29.43
Dec 2014,27.76
Nov 2014,26.27
Oct 2014,24.85
Sep 2014,23.55
Aug 2014,22.34
Jul 2014,21.05
Jun 2014,19.98
May 2014,18.92
Apr 2014,17.83
Mar 2014,16.75
Feb 2014,15.51
Jan 2014,14.56
Dec 2013,13.69
Nov 2013,12.63
Oct 2013,11.71
Sep 2013,10.97
Aug 2013,10.25
Jul 2013,9.51
Jun 2013,8.94
May 2013,8.27
Apr 2013,7.47
Mar 2013,6.64
Feb 2013,5.86
Jan 2013,5.11
Dec 2012,4.52
Nov 2012,4.03
Oct 2012,3.6
Sep 2012,3.14
Aug 2012,2.73
Jul 2012,2.29
Jun 2012,1.93
May 2012,1.5
Apr 2012,1.21
Mar 2012,1.11
Feb 2012,1.02
Jan 2012,0.93
Dec 2011,0.84
Nov 2011,0.76
Oct 2011,0.69
Sep 2011,0.62
Aug 2011,0.53
Jul 2011,0.43
Jun 2011,0.32
May 2011,0.19
Apr 2011,0.13
Mar 2011,0.11
Feb 2011,0.08
Jan 2011,0.07
Dec 2010,0.06
Nov 2010,0.05
Oct 2010,0.04
Sep 2010,0.03
Aug 2010,0.03
Jul 2010,0.02
Jun 2010,0.02
May 2010,0.02
Apr 2010,0.01
Mar 2010,0.01
Feb 2010,0.01
Jan 2010,0.01
Dec 2009,0.01
Nov 2009,0.01
Oct 2009,0.01
Sep 2009,0.01
Aug 2009,0.0
Jul 2009,0.0
Jun 2009,0.0
May 2009,0.0
Apr 2009,0.0
Mar 2009,0.0
Feb 2009,0.0
Jan 2009,0.0
