Video Ad,Shares in thousands
Disclosure - Holding On ft. Gregory Porter,68.2
2CELLOS - Thunderstruck [OFFICIAL VIDEO],49.82
Official Call of Duty®: Black Ops III - “Shadows of Evil” Zombies Reveal Trailer,37.99
Castrol EDGE Titanium Strong Virtual Drift,27.44
Misty Copeland - I WILL WHAT I WANT,27.26
Samsung - Surf - We Are Greater Than I,22.89
"Official Call of Duty®: Black Ops III - ""The Giant"" Zombies Bonus Map Trailer",18.14
God Only Knows - BBC Music,16.15
Not just for the superheroes among us.,15.41
Girls Don't Poop - PooPourri.com,10.01
