Month,Money supply in billion GBP
Jun '20,2691.34
May '20,2676.48
Apr '20,2641.42
Mar '20,2605.31
Feb '20,2484.58
Jan '20,2456.76
Dec '19,2446.55
Nov '19,2428.31
Oct '19,2420.11
Sep '19,2423.56
Aug '19,2429.24
Jul '19,2420.18
Jun '19,2414.47
May '19,2405.93
Apr '19,2416.96
Mar '19,2418.26
Feb '19,2407.08
Jan '19,2408.78
Dec '18,2414.2
Nov '18,2414.27
Oct '18,2416.13
Sep '18,2385.45
Aug '18,2375.69
Jul '18,2372.89
Jun '18,2371.17
May '18,2372.48
Apr '18,2351.39
Mar '18,2347.66
Feb '18,2360.26
Jan '18,2357.88
Dec '17,2345.36
Nov '17,2344.84
Oct '17,2339.79
Sep '17,2335.34
Aug '17,2333.07
Jul '17,2310.39
Jun '17,2316.37
May '17,2309.45
Apr '17,2302.19
Mar '17,2295.49
Feb '17,2287.7
Jan '17,2281.59
Dec '16,2279.28
Nov '16,2277.57
Oct '16,2289.5
Sep '16,2274.89
Aug '16,2269.61
Jul '16,2256.0
Jun '16,2246.36
May '16,2179.89
Apr '16,2177.51
Mar '16,2183.74
Feb '16,2181.97
Jan '16,2159.78
