Orange soft drink brands,Sugar content in grams per 100ml
Club Orange (2L),14.3
Finches Sparkling Orange (2L),13.3
Club Rock Shandy (2L),13.2
Finches Rock Shandy (1.5L),13.2
Marley's Natural Relaxation Mellow Mood Citrus (355ml),12.1
Rio Citrus (330ml),11.8
Marks & Spencer Florida Orange,11.7
Heartsease Farm St. Clements Pressé Sparkling (750 ml),11.2
San Pellegrino Sanpellegrino Chinotte (330ml can),11.1
Mirinda Orange (330ml),10.6
Tesco Orange & Mango Sparkling Drink,10.6
Tesco Orange & Passion Fruit Sparkling Drink,10.3
Barr Orangina Bulby,10.2
Barr Orangina Regular,10.2
Lidl Freeway Orange,10.0
San Pellegrino Sanpellegrin Aranciata (6 x 330ml),9.7
Barr Orangina Tropical,9.3
Turbo Tango (375ml),8.2
Pure Pret Sparkling Orange,7.9
Tesco Orange Sparkling Drink,7.3
Country Spring Orange (3L),7.2
Fanta Orange (330ml),7.1
Fanta Orange (500ml),6.9
Rapidz Orange,5.1
TK Orange (2L),3.9
