app name,Penetration rate among iOS users
"eBay: Buy, Sell, Save! Electronics, Fashion & More",23.67%
"Amazon App: shop, scan, compare, and read reviews",12.38%
"Groupon - Deals, Coupons & Discount Shopping App",11.97%
Apple Store,10.07%
"Etsy: Shop Handmade, Vintage & Creative Goods",3.67%
Wish - Shopping Made Fun,2.45%
H&M,1.77%
"Polyvore - Fashion, Trends, Style & Shopping",0.95%
"RedLaser Barcode Scanner, Shopping Assistant & QR Code Read",0.95%
Geek - Smarter Shopping,0.82%
"LivingSocial - Deals, Cashback & More",0.82%
AliExpress Shopping App,0.54%
Fancy,0.41%
ShopStyle - Find Exactly What Youre Shopping For,0.41%
QVC for iPhone,0.27%
Shop Savvy Barcode Scanner - Price Compare & Deals,0.27%
The Hunt - Style & Shopping,0.27%
AEO | Aerie,0.14%
artCircles,0.14%
Fab - #1 Shopping App for Accents & Decor,0.14%
