Spending area,Public expenditure in million euros
Tax repayments and abatement,104830
Education,74015
Defense,46076
State's financial commitments,38504
Research and higher education,28664
"Solidarity, readaptation and equal opportunities",26282
Security,20485
Territories' cohesion,15154
Environment and sustainable development and mobilities,13246
Work and employment,12985
Public finances and human resources management,10444
Justice,9389
Pension and social plans,6228
General and territorial state administration,3970
Relations with local and regional authorities,3468
Public development aid,3268
Culture,2961
"Agriculture, fishing, food, forests and rural affairs",2942
State's foreign action,2863
Overseas,2373
Economy,2357
"Veterans, memory and links with the nation",2160
Investments for the future,2057
"Immigration, asylum and integration",1812
"Sports, youth and voluntary sector",1217
Health,1128
Public authorities,994
Government action supervision,791
State's council and control,705
"Media, book and culture industry",587
Public action and transformation,435
Provisions,140
