Year,Gross domestic product in billion international dollars
2021*,2432.78
2020*,2307.72
2019,2320.5
2018,2235.29
2017,2125.48
2016,2022.29
2015,1944.27
2014,1871.66
2013,1780.63
2012,1696.25
2011,1625.28
2010,1535.43
2009,1421.04
2008,1399.2
2007,1332.36
2006,1226.38
2005,1130.83
2004,1051.37
2003,973.22
2002,926.33
2001,846.51
2000,790.01
1999,708.53
1998,626.6
1997,653.12
1996,604.74
1995,550.43
1994,491.84
1993,440.71
1992,402.8
1991,370.84
1990,323.81
1989,284.07
1988,255.29
1987,220.2
1986,190.63
1985,167.86
1984,150.88
