Year,GDP per capita in U.S. dollars
2025*,25265.21
2024*,24700.7
2023*,24250.79
2022*,23773.59
2021*,23138.08
2020*,22252.43
2019*,28499.79
2018,30442.12
2017,27193.9
2016,25267.15
2015,27398.08
2014,40278.05
2013,44754.34
2012,45726.19
2011,41657.44
2010,32216.41
2009,30414.74
2008,42827.13
2007,33732.52
2006,31907.2
2005,27014.77
2004,21585.56
2003,18786.75
2002,15759.07
2001,15108.11
2000,17012.78
1999,13358.13
1998,11424.92
1997,13740.68
1996,15068.13
1995,13871.99
1994,13549.78
1993,16213.49
1992,13989.93
1991,7960.51
1990,8588.15
1989,11359.51
1988,9640.41
1987,10956.48
1986,9653.47
1985,12670.69
