Response,Share of pregnant women
West Virginia,25.1%
Kentucky,18.4%
Montana,16.5%
Vermont,15.5%
Missouri,15.3%
Wyoming,14.6%
Ohio,14.4%
Maine,14.1%
Arkansas,13.9%
South Dakota,13.6%
Indiana,13.5%
Tennessee,13.4%
Iowa,12.9%
North Dakota,12%
Michigan,11.7%
Oklahoma,11.7%
Pennsylvania,11.5%
Alaska,11.5%
Wisconsin,11.3%
New Hampshire,11.1%
Kansas,10.2%
Alabama,10.1%
Mississippi,10%
Nebraska,9.8%
Oregon,9.5%
Delaware,9.1%
South Carolina,9.1%
Minnesota,8.9%
North Carolina,8.9%
Idaho,8.7%
Rhode Island,7.4%
Washington,6.9%
Louisiana,6.8%
New Mexico,6.5%
Illinois,6.4%
Colorado,6.2%
Virginia,6.2%
Maryland,5.9%
Georgia,5.3%
Massachusetts,5.2%
Florida,5.1%
Connecticut,4.9%
Arizona,4.8%
New York,4.8%
Nevada,4%
New Jersey,3.9%
Hawaii,3.6%
Texas,3.3%
Utah,3%
District of Columbia,2.6%
California,1.6%
