Month,Number of cases
"Jan 03, 2021",104
"Jan 02, 2021",134
"Jan 01, 2021",159
"Dec 31, 2020",0
"Dec 30, 2020",90
"Dec 29, 2020",178
"Dec 28, 2020",102
"Dec 27, 2020",115
"Dec 26, 2020",243
"Dec 25, 2020",0
"Dec 24, 2020",0
"Dec 23, 2020",89
"Dec 22, 2020",0
"Dec 21, 2020",301
"Dec 20, 2020",0
"Dec 19, 2020",0
"Dec 18, 2020",100
"Dec 17, 2020",167
"Dec 16, 2020",116
"Dec 15, 2020",26
"Dec 14, 2020",81
"Dec 13, 2020",0
"Dec 12, 2020",195
"Dec 11, 2020",0
"Dec 10, 2020",116
"Dec 09, 2020",122
"Dec 08, 2020",226
"Dec 07, 2020",0
"Dec 06, 2020",178
"Dec 05, 2020",0
"Dec 04, 2020",429
"Dec 03, 2020",0
"Dec 02, 2020",0
"Dec 01, 2020",0
"Nov 30, 2020",98
"Nov 29, 2020",190
"Nov 28, 2020",0
"Nov 27, 2020",0
"Nov 26, 2020",0
"Nov 25, 2020",41
"Nov 24, 2020",243
"Nov 23, 2020",67
"Nov 22, 2020",157
"Nov 21, 2020",86
"Nov 20, 2020",0
"Nov 19, 2020",174
"Nov 18, 2020",81
"Nov 17, 2020",0
"Nov 16, 2020",253
"Nov 15, 2020",105
"Nov 14, 2020",0
"Nov 13, 2020",61
"Nov 12, 2020",655
"Nov 11, 2020",0
"Nov 10, 2020",100
"Nov 9, 2020",100
"Nov 8, 2020",198
"Nov 7, 2020",116
"Nov 6, 2020",0
"Nov 5, 2020",145
"Nov 4, 2020",443
"Nov 3, 2020",0
"Nov 2, 2020",76
"Nov 1, 2020",69
"Oct 31, 2020",0
"Oct 30, 2020",0
"Oct 29, 2020",280
"Oct 28, 2020",0
"Oct 27, 2020",0
"Oct 26, 2020",85
"Oct 25, 2020",0
"Oct 24, 2020",89
"Oct 23, 2020",63
"Oct 22, 2020",77
"Oct 21, 2020",0
"Oct 20, 2020",89
"Oct 19, 2020",62
"Oct 18, 2020",78
"Oct 17, 2020",59
"Oct 16, 2020",0
"Oct 15, 2020",47
"Oct 14, 2020",0
"Oct 13, 2020",96
"Oct 12, 2020",25
"Oct 11, 2020",0
"Oct 10, 2020",18
"Oct 09, 2020",40
"Oct 08, 2020",118
"Oct 07, 2020",0
"Oct 06, 2020",0
"Oct 05, 2020",0
"Oct 04, 2020",26
"Oct 03, 2020",109
"Oct 02, 2020",38
"Oct 01, 2020",30
"Sep 30, 2020",144
"Sep 29, 2020",38
"Sep 28, 2020",57
"Sep 27, 2020",165
"Sep 26, 2020",0
"Sep 25, 2020",0
"Sep 24, 2020",69
"Sep 23, 2020",91
"Sep 22, 2020",0
"Sep 21, 2020",58
"Sep 20, 2020",127
"Sep 19, 2020",117
"Sep 18, 2020",46
"Sep 17, 2020",59
"Sep 16, 2020",0
"Sep 15, 2020",54
"Sep 14, 2020",167
"Sep 13, 2020",0
"Sep 12, 2020",46
"Sep 11, 2020",75
"Sep 10, 2020",0
"Sep 9, 2020",301
"Sep 8, 2020",143
"Sep 7, 2020",92
"Sep 6, 2020",0
"Sep 5, 2020",0
"Sep 4, 2020",64
"Sep 3, 2020",55
"Sep 2, 2020",198
"Sep 1, 2020",162
Aug 31. 2020,93
"Aug 30, 2020",87
"Aug 29, 2020",169
"Aug 28, 2020",108
"Aug 27, 2020",72
"Aug 26, 2020",52
"Aug 25, 2020",95
"Aug 24, 2020",117
"Aug 23, 2020",180
"Aug 22, 2020",0
"Aug 21, 2020",65
"Aug 20, 2020",166
"Aug 19, 2020",101
"Aug 18, 2020",340
"Aug 17, 2020",121
"Aug 16, 2020",322
"Aug 15, 2020",363
"Aug 14, 2020",122
"Aug 13, 2020",153
"Aug 12, 2020",168
"Aug 11, 2020",192
"Aug 10, 2020",209
"Aug 9, 2020",470
"Aug 8, 2020",436
"Aug 7, 2020",455
"Aug 6, 2020",567
"Aug 5, 2020",1263
"Aug 4, 2020",0
"Aug 3, 2020",798
"Aug 2, 2020",0
"Aug 1, 2020",1513
"Jul 31, 2020",359
"Jul 30, 2020",0
