Month,Index score (1987=100)
Nov 20,293.5
Oct 20,294.3
Sep 20,294.3
Aug 20,293.3
Jul 20,294.2
Jun 20,292.7
May 20,292.2
Apr 20,292.6
Mar 20,292.6
Feb 20,292.0
Jan 20,290.6
Dec 19,291.9
Nov 19,291.0
Oct 19,290.4
Sep 19,291.0
Aug 19,291.7
Jul 19,289.5
Jun 19,289.6
May 19,289.2
Apr 19,288.2
Mar 19,285.1
Feb 19,285.0
Jan 19,283.0
Dec 18,285.6
Nov 18,284.6
Oct 18,284.5
Sep 18,284.1
Aug 18,284.2
Jul 18,281.7
Jun 18,281.5
May 18,280.7
Apr 18,279.7
Mar 18,278.3
Feb 18,278.1
Jan 18,276.0
Dec 17,278.1
Nov 17,275.8
Oct 17,275.3
Sep 17,275.1
Aug 17,274.7
Jul 17,272.9
Jun 17,272.3
May 17,271.7
Apr 17,270.6
Mar 17,269.3
Feb 17,268.4
Jan 17,265.5
Dec 16,267.1
Nov 16,265.5
Oct 16,264.8
Sep 16,264.9
Aug 16,264.4
Jul 16,263.4
Jun 16,263.1
May 16,262.1
Apr 16,261.4
Mar 16,261.1
Feb 16,260.0
Jan 16,258.8
Dec 15,260.6
Nov 15,259.8
Oct 15,259.5
Sep 15,259.6
Aug 15,259.8
Jul 15,258.6
Jun 15,258.9
May 15,258.5
Apr 15,258.0
Mar 15,257.1
Feb 15,256.7
Jan 15,255.4
Dec 14,257.5
Nov 14,257.1
Oct 14,257.7
Sep 14,257.6
Aug 14,257.0
Jul 14,256.0
Jun 14,256.3
May 14,255.9
Apr 14,255.7
Mar 14,254.8
Feb 14,254.2
Jan 14,252.6
Dec 13,253.4
Nov 13,252.1
Oct 13,251.9
Sep 13,251.9
Aug 13,251.0
Jul 13,249.7
Jun 13,249.7
May 13,250.0
Apr 13,249.5
Mar 13,248.7
Feb 13,247.6
Jan 13,245.8
Dec 12,246.8
Nov 12,245.6
Oct 12,245.6
Sep 12,244.2
Aug 12,243.0
Jul 12,242.1
Jun 12,241.8
May 12,242.4
Apr 12,242.5
Mar 12,240.8
Feb 12,239.9
Jan 12,238.0
Dec 11,239.4
Nov 11,238.5
Oct 11,238.0
Sep 11,237.9
Aug 11,236.1
Jul 11,234.7
Jun 11,235.2
May 11,235.2
Apr 11,234.4
Mar 11,232.5
Feb 11,231.3
Jan 11,229.0
Dec 10,228.4
Nov 10,226.8
Oct 10,225.8
Sep 10,225.3
Aug 10,224.5
Jul 10,223.6
Jun 10,224.1
May 10,223.6
Apr 10,222.8
Mar 10,220.7
Feb 10,219.2
Jan 10,217.9
Dec 09,218.0
Nov 09,216.6
Oct 09,216.0
Sep 09,215.3
Aug 09,214.4
Jul 09,213.4
Jun 09,213.4
May 09,212.8
Apr 09,211.5
Mar 09,211.3
Feb 09,211.4
Jan 09,210.1
Dec 08,212.9
Nov 08,216.0
Oct 08,217.7
Sep 08,218.4
Aug 08,217.2
Jul 08,216.5
Jun 08,216.8
May 08,215.1
Apr 08,214.0
Mar 08,212.1
Feb 08,211.4
Jan 08,209.8
Dec 07,210.9
Nov 07,209.7
Oct 07,208.9
Sep 07,208.0
Aug 07,207.3
Jul 07,206.1
Jun 07,207.3
May 07,206.2
Apr 07,205.4
Mar 07,204.4
Feb 07,203.1
Jan 07,201.6
Dec 06,202.7
Nov 06,201.1
Oct 06,200.4
Sep 06,200.1
Aug 06,199.2
Jul 06,198.5
Jun 06,198.5
May 06,197.7
Apr 06,196.5
Mar 06,195.0
Feb 06,194.2
Jan 06,193.4
Dec 05,194.1
Nov 05,193.6
Oct 05,193.3
Sep 05,193.1
Aug 05,192.6
Jul 05,192.2
Jun 05,192.2
May 05,192.0
Apr 05,191.6
Mar 05,190.5
Feb 05,189.6
Jan 05,188.9
Dec 04,189.9
Nov 04,189.0
Oct 04,188.6
Sep 04,188.1
Aug 04,187.4
Jul 04,186.8
Jun 04,186.8
May 04,186.5
Apr 04,185.7
Mar 04,184.6
Feb 04,183.8
Jan 04,183.1
Dec 03,183.5
Nov 03,182.7
Oct 03,182.6
Sep 03,182.5
Aug 03,181.6
Jul 03,181.3
Jun 03,181.3
May 03,181.5
Apr 03,181.2
Mar 03,179.9
Feb 03,179.3
Jan 03,178.4
Dec 02,178.5
Nov 02,178.2
Oct 02,177.9
Sep 02,177.6
Aug 02,176.4
Jul 02,175.9
Jun 02,176.2
May 02,176.2
Apr 02,175.7
Mar 02,174.5
Feb 02,173.8
Jan 02,173.3
Dec 01,173.4
Nov 01,173.6
Oct 01,174.3
Sep 01,174.6
Aug 01,174.0
Jul 01,173.3
Jun 01,174.4
May 01,174.2
Apr 01,173.1
Mar 01,172.2
Feb 01,172.0
Jan 01,171.1
Dec 00,172.2
Nov 00,172.1
Oct 00,171.6
Sep 00,171.7
Aug 00,170.5
Jul 00,170.5
Jun 00,171.1
May 00,170.7
Apr 00,170.1
Mar 00,168.4
Feb 00,167.5
Jan 00,166.6
Dec 99,167.3
Nov 99,166.7
Oct 99,166.5
Sep 99,166.2
Aug 99,165.5
Jul 99,165.1
Jun 99,165.6
May 99,165.6
Apr 99,165.2
Mar 99,164.1
Feb 99,163.7
Jan 99,163.4
Dec 98,164.4
Nov 98,164.4
Oct 98,164.5
Sep 98,164.4
Aug 98,163.7
Jul 98,163.0
Jun 98,163.4
May 98,163.5
Apr 98,162.6
Mar 98,160.8
Feb 98,160.3
Jan 98,159.5
Dec 97,160.0
Nov 97,159.6
Oct 97,159.5
Sep 97,159.3
Aug 97,158.5
Jul 97,157.5
Jun 97,157.5
May 97,156.9
Apr 97,156.3
Mar 97,155.4
Feb 97,155.0
Jan 97,154.4
Dec 96,154.4
Nov 96,153.9
Oct 96,153.8
Sep 96,153.8
Aug 96,153.1
Jul 96,152.4
Jun 96,153.0
May 96,152.9
Apr 96,152.6
Mar 96,151.5
Feb 96,150.9
Jan 96,150.2
Dec 95,150.7
Nov 95,149.8
Oct 95,149.8
Sep 95,150.6
Aug 95,149.9
Jul 95,149.1
Jun 95,149.8
May 95,149.6
Apr 95,149.0
Mar 95,147.5
Feb 95,146.9
Jan 95,146.0
Dec 94,146.0
Nov 94,145.3
Oct 94,145.2
Sep 94,145.0
Aug 94,144.7
Jul 94,144.0
Jun 94,144.7
May 94,144.7
Apr 94,144.2
Mar 94,142.5
Feb 94,142.1
Jan 94,141.3
Dec 93,141.9
Nov 93,141.6
Oct 93,141.8
Sep 93,141.9
Aug 93,141.3
Jul 93,140.7
Jun 93,141.0
May 93,141.1
Apr 93,140.6
Mar 93,139.3
Feb 93,138.8
Jan 93,137.9
Dec 92,139.2
Nov 92,139.7
Oct 92,139.9
Sep 92,139.4
Aug 92,138.9
Jul 92,138.8
Jun 92,139.3
May 92,139.3
Apr 92,138.8
Mar 92,136.7
Feb 92,136.3
Jan 92,135.6
Dec 91,135.7
Nov 91,135.6
Oct 91,135.1
Sep 91,134.6
Aug 91,134.1
Jul 91,133.8
Jun 91,134.1
May 91,133.5
Apr 91,133.1
Mar 91,131.4
Feb 91,130.9
Jan 91,130.2
Dec 90,129.9
Nov 90,130.0
Oct 90,130.3
Sep 90,129.3
Aug 90,128.1
Jul 90,126.8
Jun 90,126.7
May 90,126.2
Apr 90,125.1
Mar 90,121.4
Feb 90,120.2
Jan 90,119.5
Dec 89,118.8
Nov 89,118.5
Oct 89,117.5
Sep 89,116.6
Aug 89,115.8
Jul 89,115.5
Jun 89,115.4
May 89,115.0
Apr 89,114.3
Mar 89,112.3
Feb 89,111.8
Jan 89,111.0
Dec 88,110.3
Nov 88,110.0
Oct 88,109.5
Sep 88,108.4
Aug 88,107.9
Jul 88,106.7
Jun 88,106.6
May 88,106.2
Apr 88,105.8
Mar 88,104.1
Feb 88,103.7
Jan 88,103.3
Dec 87,103.3
Nov 87,103.4
Oct 87,102.9
Sep 87,102.4
Aug 87,102.1
Jul 87,101.8
Jun 87,101.9
May 87,101.9
Apr 87,101.8
Mar 87,100.6
Feb 87,100.4
Jan 87,100.0
