Year,Number of patients
1/8/2021,1100
1/6/2021,1070
1/5/2021,1086
1/3/2021,1119
1/1/2021,1111
12/30/2020,1149
12/27/2020,1206
12/24/2020,1234
12/21/2020,1255
12/18/2020,1270
12/17/2020,1297
12/16/2020,1267
12/14/2020,1289
12/12/2020,1288
12/9/2020,1271
12/6/2020,1289
12/4/2020,1275
12/2/2020,1260
11/28/2020,1249
11/27/2020,1226
11/25/2020,1205
11/23/2020,1160
11/22/2020,1174
11/20/2020,1139
11/18/2020,1174
11/16/2020,1187
11/14/2020,1172
11/13/2020,1149
11/12/2020,1152
11/11/2020,1092
11/9/2020,1076
11/8/2020,1056
11/7/2020,1048
11/6/2020,1001
11/5/2020,1014
11/4/2020,1001
11/3/2020,974
11/2/2020,916
10/31/2020,923
10/30/2020,917
10/29/2020,868
10/27/2020,824
10/25/2020,828
10/24/2020,787
10/22/2020,778
10/20/2020,768
10/19/2020,757
10/17/2020,745
10/15/2020,721
10/13/2020,651
10/10/2020,629
10/9/2020,613
10/7/2020,612
10/4/2020,598
10/2/2020,571
9/30/2020,550
9/28/2020,557
9/27/2020,535
9/25/2020,508
9/23/2020,498
9/20/2020,470
9/17/2020,460
9/16/2020,471
9/14/2020,456
9/11/2020,478
9/10/2020,459
9/6/2020,474
9/4/2020,485
9/3/2020,503
9/1/2020,522
8/29/2020,490
8/26/2020,502
8/23/2020,480
8/22/2020,504
8/20/2020,489
8/17/2020,497
8/15/2020,473
8/12/2020,485
8/8/2020,448
8/5/2020,464
8/3/2020,419
7/31/2020,409
7/27/2020,353
7/25/2020,315
7/23/2020,285
7/20/2020,293
7/17/2020,273
7/13/2020,235
7/10/2020,236
7/7/2020,231
7/3/2020,224
6/29/2020,210
6/25/2020,199
6/21/2020,195
6/19/2020,184
6/15/2020,175
6/11/2020,153
6/7/2020,144
6/4/2020,153
5/31/2020,160
5/27/2020,198
5/23/2020,196
5/19/2020,195
5/15/2020,219
5/11/2020,255
5/7/2020,234
5/3/2020,255
