State,Percentage change in abortion rate
Wyoming,19.8%
Mississippi,16.7%
District of Columbia,5.9%
New Jersey,3.5%
Georgia,0.7%
North Carolina,0.2%
Kansas,-2.2%
Illinois,-2.3%
Vermont,-2.4%
Minnesota,-5.9%
Michigan,-7.1%
New Mexico,-10.1%
Maine,-11%
Maryland,-12.7%
Pennsylvania,-13.1%
Rhode Island,-15.4%
Oregon,-15.7%
Wisconsin,-16.2%
North Dakota,-16.8%
Connecticut,-16.9%
Kentucky,-18%
Utah,-18.1%
Indiana,-18.5%
Louisiana,-19.1%
Missouri,-19.6%
South Dakota,-19.8%
U.S. total,-20.1%
Nevada,-20.2%
Oklahoma,-21.4%
Florida,-21.7%
New York,-23%
Colorado,-23.3%
Nebraska,-24.2%
Washington,-24.3%
Masschusetts,-24.4%
South Carolina,-25.3%
Arkansas,-27.1%
Idaho,-27.4%
Ohio,-27.4%
Arizona,-27.4%
California,-28.8%
New Hampshire,-29%
Tennessee,-29.4%
Texas,-30.2%
Alaska,-30.6%
Montana,-32.3%
Iowa,-34.6%
Alabama,-35.7%
West Virginia,-36.7%
Virginia,-41.5%
Hawaii,-42.9%
Delaware,-62.9%
