Response,Percentage of population
West Virginia,19.1%
Arkansas,17.7%
Kentucky,17.4%
Maine,16.6%
Mississippi,16.5%
Alabama,16.3%
Oklahoma,16.3%
New Mexico,15.8%
Louisiana,15.4%
Tennessee,15.4%
Missouri,14.5%
Vermont,14.5%
South Carolina,14.4%
Michigan,14.2%
Pennsylvania,14.1%
Rhode Island,14.1%
Ohio,14.1%
Oregon,14%
Kansas,13.7%
Indiana,13.6%
Florida,13.5%
Idaho,13.5%
Montana,13.4%
Arizona,13.3%
North Carolina,13.3%
Delaware,13.2%
New Hampshire,13%
Wyoming,12.8%
U.S.,12.6%
Washington,12.6%
Alaska,12.6%
Nevada,12.5%
Georgia,12.1%
South Dakota,12.1%
Virginia,12%
Nebraska,11.8%
Iowa,11.7%
Massachusetts,11.6%
Hawaii,11.6%
Wisconsin,11.6%
District of Columbia,11.6%
Texas,11.4%
Maryland,11.4%
New York,11.4%
Illinois,11.1%
Minnesota,11%
North Dakota,10.9%
Connecticut,10.8%
Colorado,10.7%
California,10.4%
New Jersey,10.2%
Utah,9.6%
