Year,Gross domestic product in billion international dollars
2021*,161.73
2020*,163.61
2019*,175.23
2018*,176.68
2017*,176.53
2016,172.05
2015,164.58
2014,159.82
2013,149.92
2012,144.49
2011,170.82
2010,172.19
2009,163.89
2008,167.28
2007,158.01
2006,145.53
2005,132.59
2004,121.71
2003,112.73
2002,104.13
2001,96.76
2000,85.4
1999,77.07
1998,72.89
1997,66.59
1996,61.72
1995,57.47
1994,51.71
1993,48.91
1992,46.5
1991,43.07
1990,38.93
1989,38.18
1988,36.22
1987,33.52
1986,30.73
1985,27.4
1984,26.73
