"Artist (auction house, sale year)",Value of sale in million U.S. dollars
"Jeff Koons (Christie's New York, 2013)",58.41
"Gerhard Richter (Sotheby's New York, 2013)",37.13
"Gerhard Richter (Sotheby's London, 2012)",34.27
"Jeff Koons (Christie's New York, 2014)",33.77
"Jeff Koons (Christie's New York, 2012)",33.68
"Gerhard Richter (Christie's London, 2014)",32.56
"Gerhard Richter (Christie's New York, 2014)",29.29
"Gerhard Richter (Sotheby's London, 2014)",28.91
"Gerhard Richter (Sotheby's New York, 2014)",28.73
"Jeff Koons (Sotheby's New York, 2014)",28.17
