State,Number of deaths
New York,38743
Texas,28797
California,27519
Florida,22188
New Jersey,19382
Illinois,18562
Pennsylvania,16536
Michigan,13608
Massachusetts,12734
Georgia,11072
Arizona,9317
Ohio,9247
Indiana,8663
Louisiana,7635
Tennessee,7267
North Carolina,6996
Connecticut,6192
Maryland,6082
Missouri,5950
Minnesota,5520
South Carolina,5498
Wisconsin,5366
Virginia,5191
Colorado,4991
Mississippi,4975
Alabama,4886
Iowa,3999
Arkansas,3836
Washington,3541
Nevada,3235
Kansas,2985
Kentucky,2772
New Mexico,2594
Oklahoma,2571
Rhode Island,1870
Nebraska,1692
Puerto Rico,1570
Oregon,1550
South Dakota,1513
Idaho,1471
West Virginia,1442
North Dakota,1329
Utah,1312
Montana,1005
Delaware,947
District of Columbia,801
New Hampshire,792
Wyoming,464
Maine,369
Hawaii,289
Alaska,218
Vermont,149
Guam,123
US Virgin Islands,24
Other,3
Northern Mariana Islands,2
