food product,Prices in Nigerian Naira
"Agric eggs, medium size (1 dozen)",494.72
"Beans, brown, sold loose (1 Kg)",334.66
"Beans, whiteblack eye, sold loose (1 Kg)",308.36
"Beef, bone in (1 Kg)",1081.17
"Beef, boneless (1 Kg)",1393.77
"Bread, unsliced (1 loaf)",307.01
"Broken rice, Ofada (1 Kg)",462.55
"Rice, local sold loose (1 Kg)",404.61
"Rice, imported high quality, sold loose (1 Kg)",549.98
Chicken feet (1 Kg),729.14
Chicken wings (1 Kg),978.41
"Chicken, frozen (1 unit)",1936.97
Evaporated tinned milk carnation (170 g),166.06
"Gari white, sold loose (1 Kg)",241.25
"Mudfish (Aro), fresh (1 Kg)",1021.72
"Catfish (Obokun), fresh (1 Kg)",1066.15
"Sardine, dried (1 Kg)",1479.84
"Tilapia fish (Epiya), fresh (1 Kg)",869.15
"Titus, frozen (1 Kg)",869.15
Yam tuber (1 Kg),236.25
Irish potato (1 Kg),319.48
Sweet potato (1 Kg),160.89
Tomato (1 Kg),316.16
Onion bulb (1 Kg),379.39
"Maize grain, white, sold loose (1 Kg)",204.95
"Plantain, ripe (1 Kg)",238.94
"Platain, unripe (1Kg)",216.19
"Groundnut oil, bottle (1 liter)",656.76
"Palm oil, specify bottle (1 liter)",542.85
"Wheat flour, prepacked, golden penny (2 Kg)",749.99
