Month,Price in GBP per kilogram
Nov '19,0.8
Oct '19,0.76
Sep '19,0.95
Aug '19,1.13
Jun '19,0.88
May '19,0.66
Apr '19,0.75
Mar '19,0.7
Feb '19,0.67
Jan '19,0.55
Dec '18,0.54
Nov '18,0.64
Oct '18,0.64
Sep '18,0.78
Aug '18,1.0
May '18,0.94
Apr '18,0.89
Mar '18,0.73
Feb '18,0.72
Jan '18,0.65
Dec '17,0.65
Nov '17,0.69
Oct '17,0.68
Sep '17,0.8
Aug '17,1.12
May '17,0.67
Apr '17,0.75
Mar '17,0.8
Feb '17,0.55
Jan '17,0.53
Dec '16,0.57
Nov '16,0.6
Oct '16,0.62
Sep '16,0.67
Aug '16,1.43
May '16,0.5
Apr '16,0.55
Mar '16,0.55
Feb '16,0.52
Jan '16,0.5
Dec '15,0.48
Nov '15,0.53
Oct '15,0.56
Sep '15,0.68
Aug '15,0.82
Jul '15,0.51
Jun '15,0.58
May '15,0.54
Apr '15,0.45
Mar '15,0.44
Feb '15,0.48
Jan '15,0.48
