Month,Number of new cases
Jan 3,54990
Jan 2,57725
Jan 1,53285
Dec 31,55892
Dec 30,50023
Dec 29,53135
Dec 28,41385
Dec 27,30501
Dec 26,35691
Dec 25,32725
Dec 24,39877
Dec 23,39237
Dec 22,36804
Dec 21,33364
Dec 20,35928
Dec 19,27052
Dec 18,28507
Dec 17,35383
Dec 16,25161
Dec 15,18450
Dec 14,20263
Dec 13,18447
Dec 12,21502
Dec 11,21672
Dec 10,20964
Dec 9,16578
Dec 8,12282
Dec 7,14718
Dec 6,17272
Dec 5,15539
Dec 4,16298
Dec 3,14879
Dec 2,16170
Dec 1,13430
Nov 30,12330
Nov 29,12155
Nov 28,15871
Nov 27,16022
Nov 26,17555
Nov 25,18213
Nov 24,11299
Nov 23,15450
Nov 22,18662
Nov 21,19875
Nov 20,20252
Nov 19,22915
Nov 18,19609
Nov 17,20051
Nov 16,21363
Nov 15,24962
Nov 14,26860
Nov 13,27301
Nov 12,33470
Nov 11,22950
Nov 10,20412
Nov 9,21350
Nov 8,20572
Nov 7,24957
Nov 6,23287
Nov 5,24141
Nov 4,25177
Nov 3,20018
Nov 2,18950
Nov 1,23254
Oct 31,21915
Oct 30,24405
Oct 29,23065
Oct 28,24701
Oct 27,22885
Oct 26,20890
Oct 25,19790
Oct 24,23012
Oct 23,20530
Oct 22,21242
Oct 21,26688
Oct 20,21331
Oct 19,18804
Oct 18,16982
Oct 17,16171
Oct 16,15650
Oct 15,18980
Oct 14,19724
Oct 13,17234
Oct 12,13972
Oct 11,12872
Oct 10,15166
Oct 9,13864
Oct 8,17540
Oct 7,14162
Oct 6,14542
Oct 5,12594
Oct 4,22961
Oct 3,12872
Oct 2,6968
Oct 1,6914
Sep 30,7108
Sep 29,7143
Sep 28,4044
Sep 27,5693
Sep 26,6042
Sep 25,6874
Sep 24,6634
Sep 23,6178
Sep 22,4926
Sep 21,4368
Sep 20,3899
Sep 19,4422
Sep 18,4322
Sep 17,3395
Sep 16,3991
Sep 15,3105
Sep 14,2621
Sep 13,3330
Sep 12,3497
Sep 11,3539
Sep 10,2919
Sep 9,2659
Sep 8,2460
Sep 7,2948
Sep 6,2988
Sep 5,1813
Sep 4,1940
Sep 3,1735
Sep 2,1508
Sep 1,1295
Aug 31,1406
Aug 30,1715
Aug 29,1108
Aug 28,1276
Aug 27,1522
Aug 26,1048
Aug 25,1184
Aug 24,853
Aug 23,1160
Aug 22,1288
Aug 21,1033
Aug 20,1182
Aug 19,812
Aug 18,1089
Aug 17,713
Aug 16,1040
Aug 15,1077
Aug 14,1441
Aug 13,1129
Aug 12,1009
Aug 11,1148
Aug 10,816
Aug 9,1062
Aug 8,758
Aug 7,871
Aug 6,950
Aug 5,892
Aug 4,670
Aug 3,938
Aug 2,744
Aug 1,771
Jul 31,880
Jul 30,846
Jul 29,763
Jul 28,581
Jul 27,685
Jul 26,747
Jul 25,767
Jul 24,768
Jul 23,769
Jul 22,560
Jul 21,445
Jul 20,580
Jul 19,726
Jul 18,827
Jul 17,687
Jul 16,642
Jul 15,538
Jul 14,398
Jul 13,530
Jul 12,650
Jul 11,820
Jul 10,512
Jul 9,642
Jul 8,630
Jul 7,581
Jul 6,343
Jul 5,516
Jul 4,624
Jul 3,544
Jul 2,576
Jul 1,829
Jun 30,689
Jun 29,815
Jun 28,901
Jun 27,890
Jun 26,1006
Jun 25,1118
Jun 24,653
Jun 23,874
Jun 22,958
Jun 21,1221
Jun 20,1295
Jun 19,1346
Jun 18,1218
Jun 17,1115
Jun 16,1279
Jun 15,1056
Jun 14,1514
Jun 13,1425
Jun 12,1541
Jun 11,1266
Jun 10,1003
Jun 9,1387
Jun 8,1205
Jun 7,1326
Jun 6,1557
Jun 5,1650
Jun 4,1805
Jun 3,1871
Jun 2,1653
Jun 1,1570
May 31,1936
May 30,2445
May 29,2095
May 28,1887
May 27,2013
May 26,2004
May 25,1625
May 24,2409
May 23,2959
May 22,3287
May 21,2615
May 20,2472
May 19,2412
May 18,2684
May 17,3562
May 16,3451
May 15,3560
May 14,3446
May 13,3242
May 12,3403
May 11,3877
May 10,3923
May 9,3896
May 8,4649
May 7,5614
May 6,6111
May 5,4406
May 4,3985
May 3,4339
May 2,4806
May 1,6201
Apr 30,6032
Apr 29,4076
Apr 28,3996
Apr 27,4310
Apr 26,4463
Apr 25,4913
Apr 24,5386
Apr 23,4583
Apr 22,4451
Apr 21,4301
Apr 20,4676
Apr 19,5850
Apr 18,5526
Apr 17,5599
Apr 16,4618
Apr 15,4605
Apr 14,5252
Apr 13,4342
Apr 12,5288
Apr 11,5234
Apr 10,5706
Apr 9,4675
Apr 8,5865
Apr 7,3888
Apr 6,4143
Apr 5,6199
Apr 4,4000
Apr 3,4672
Apr 2,4522
Apr 1,4567
Mar 31,3250
Mar 30,2665
Mar 29,2502
Mar 28,2556
Mar 27,2890
Mar 26,2129
Mar 25,1452
Mar 24,1427
Mar 23,967
Mar 22,665
Mar 21,1035
Mar 20,714
Mar 19,643
Mar 18,676
Mar 17,407
Mar 16,152
Mar 15,330
Mar 14,264
Mar 13,207
Mar 12,134
Mar 11,83
Mar 10,48
Mar 9,67
Mar 8,43
Mar 7,48
Mar 6,30
Mar 5,34
Mar 4,11
Mar 3,4
Mar 2,13
Mar 1,5
Feb 29,2
Feb 28,3
Feb 27,-
Feb 26,-
Feb 25,-
Feb 24,4
Feb 23,-
Feb 22,-
Feb 21,-
Feb 20,-
Feb 19,-
Feb 18,-
Feb 17,-
Feb 16,-
Feb 15,-
Feb 14,-
Feb 13,1
Feb 12,-
Feb 11,4
Feb 10,-
Feb 9,1
Feb 8,-
Feb 7,1
Feb 6,-
Feb 5,-
Feb 4,-
Feb 3,-
Feb 1,-
Jan 31,2
