Month,Cumulative number of patients in ICU
Dec 20,544
Dec 19,541
Dec 18,547
Dec 17,562
Dec 16,571
Dec 15,594
Dec 14,615
Dec 13,617
Dec 12,627
Dec 11,646
Dec 10,658
Dec 9,662
Dec 8,677
Dec 7,724
Dec 6,743
Dec 5,758
Dec 4,789
Dec 3,786
Dec 2,829
Dec 1,854
Nov 30,900
Nov 29,904
Nov 28,947
Nov 27,998
Nov 26,1034
Nov 25,1071
Nov 24,1105
Nov 23,1169
Nov 22,1194
Nov 21,1201
Nov 20,1256
Nov 19,1286
Nov 18,1323
Nov 17,1356
Nov 16,1408
Nov 15,1439
Nov 14,1423
Nov 13,1457
Nov 12,1456
Nov 11,1463
Nov 10,1470
Nov 9,1474
Nov 8,1470
Nov 7,1464
Nov 6,1459
Nov 5,1428
Nov 4,1412
Nov 3,1353
Nov 2,1302
Nov 1,1223
Oct 31,1161
Oct 30,1105
Oct 29,1057
Oct 28,994
Oct 27,912
Oct 26,809
Oct 25,756
Oct 24,694
Oct 23,633
Oct 22,573
Oct 21,525
Oct 20,486
Oct 19,446
Oct 18,412
Oct 17,384
Oct 16,358
Oct 15,327
Oct 14,313
Oct 13,281
Oct 12,268
Oct 11,243
Oct 10,226
Oct 9,212
Oct 8,213
Oct 7,201
Oct 6,189
Oct 5,195
Oct 4,186
Oct 3,185
Oct 2,163
Oct 1,156
Sep 30,157
Sep 29,150
Sep 28,140
Sep 27,135
Sep 26,120
Sep 25,109
Sep 24,104
Sep 23,95
Sep 22,94
Sep 21,87
Sep 20,77
Sep 19,78
Sep 18,78
Sep 17,69
Sep 16,74
Sep 15,67
Sep 14,72
Sep 13,71
Sep 12,68
Sep 11,67
Sep 10,65
Sep 9,60
Sep 8,59
Sep 7,52
Sep 6,53
Sep 5,53
Sep 4,52
Sep 3,58
Sep 2,60
Sep 1,68
Aug 31,74
Aug 30,71
Aug 29,72
Aug 28,77
Aug 27,82
Aug 26,81
Aug 25,85
Aug 24,89
Aug 23,87
Aug 22,85
Aug 21,84
Aug 20,82
Aug 19,83
Aug 18,89
Aug 17,91
Aug 16,86
Aug 15,82
Aug 14,80
Aug 13,74
Aug 12,76
Aug 11,77
Aug 10,73
Aug 9,69
Aug 8,67
Aug 7,69
Aug 6,65
Aug 5,61
Aug 4,63
Aug 3,54
Aug 2,58
Aug 1,56
Jul 31,48
Jul 30,42
Jul 29,47
Jul 28,49
Jul 27,52
Jul 26,47
Jul 25,44
Jul 24,41
Jul 23,40
Jul 22,41
Jul 21,33
Jul 20,36
Jul 19,31
Jul 18,30
Jul 17,28
Jul 16,28
Jul 15,27
Jul 14,27
Jul 13,23
Jul 12,27
Jul 11,28
Jul 10,32
Jul 9,36
Jul 8,32
Jul 7,32
Jul 6,27
Jul 5,30
Jul 4,29
Jul 3,32
Jul 2,35
Jul 1,36
Jun 30,37
Jun 29,41
Jun 28,36
Jun 27,34
Jun 26,36
Jun 25,38
Jun 24,40
Jun 23,41
Jun 22,42
Jun 21,50
Jun 20,53
Jun 19,50
Jun 18,52
Jun 17,60
Jun 16,67
Jun 15,76
Jun 14,85
Jun 13,82
Jun 12,88
Jun 11,89
Jun 10,99
Jun 9,102
Jun 8,115
Jun 7,116
Jun 6,111
Jun 5,121
Jun 4,137
Jun 3,145
Jun 2,172
Jun 1,166
May 31,168
May 30,173
May 29,187
May 28,208
May 27,220
May 26,249
May 25,251
May 24,256
May 23,259
May 22,268
May 21,277
May 20,313
May 19,345
May 18,342
May 17,371
May 16,364
May 15,380
May 14,407
May 13,420
May 12,465
May 11,478
May 10,476
May 9,502
May 8,508
May 7,538
May 6,646
May 5,646
May 4,655
May 3,674
May 2,689
May 1,740
Apr 30,769
Apr 29,797
Apr 28,876
Apr 27,903
Apr 26,891
Apr 25,934
Apr 24,970
Apr 23,993
Apr 22,1020
Apr 21,1079
Apr 20,1071
Apr 19,1081
Apr 18,1119
Apr 17,1140
Apr 16,1182
Apr 15,1204
Apr 14,1223
Apr 13,1234
Apr 12,1223
Apr 11,1262
Apr 10,1278
Apr 9,1285
Apr 8,1276
Apr 7,1260
Apr 6,1257
Apr 5,1261
Apr 4,1245
Apr 3,1205
Apr 2,1144
Apr 1,1088
Mar 31,1021
Mar 30,927
Mar 29,867
Mar 28,789
Mar 27,690
Mar 26,605
Mar 25,474
Mar 24,381
Mar 23,322
Mar 22,290
Mar 21,238
Mar 20,164
