city of the United States,Per capita income in U.S. dollars
"San Jose-Sunnyvale-Santa Clara, CA",61400
"San Francisco-Oakland-Berkeley, CA",60223
"Bridgeport-Stamford-Norwalk, CT",58815
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51437
"Boulder, CO",51415
"Boston-Cambridge-Newton, MA-NH",50421
"Barnstable Town, MA",50384
"Seattle-Tacoma-Bellevue, WA",49184
"Napa, CA",47729
"Naples-Marco Island, FL",47433
"Santa Cruz-Watsonville, CA",46714
"New York-Newark-Jersey City, NY-NJ-PA",46241
"Santa Rosa-Petaluma, CA",46006
"Denver-Aurora-Lakewood, CO",44806
"Ocean City, NJ",43852
"Ann Arbor, MI",43714
"Baltimore-Columbia-Towson, MD",43139
"Charlottesville, VA",42734
"Minneapolis-St. Paul-Bloomington, MN-WI",42681
"Trenton-Princeton, NJ",42338
"Hartford-East Hartford-Middletown, CT",41991
"Austin-Round Rock-Georgetown, TX",41957
"Manchester-Nashua, NH",41779
"Hilton Head Island-Bluffton, SC",41421
"California-Lexington Park, MD",41402
"Madison, WI",41254
"Rochester, MN",40989
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",40930
"Norwich-New London, CT",40584
"Fort Collins, CO",40582
"Portland-Vancouver-Hillsboro, OR-WA",40526
"San Diego-Chula Vista-Carlsbad, CA",40389
"Oxnard-Thousand Oaks-Ventura, CA",40293
"Raleigh-Cary, NC",40209
"Portland-South Portland, ME",40148
"Chicago-Naperville-Elgin, IL-IN-WI",40144
"Cheyenne, WY",39791
"North Port-Sarasota-Bradenton, FL",39643
"Reno, NV",39619
"Poughkeepsie-Newburgh-Middletown, NY",39492
"Fairbanks, AK",39252
"The Villages, FL",39187
"Bremerton-Silverdale-Port Orchard, WA",39068
"Iowa City, IA",38843
"Anchorage, AK",38842
"Santa Maria-Santa Barbara, CA",38805
"Albany-Schenectady-Troy, NY",38497
"Burlington-South Burlington, VT",38497
"Urban Honolulu, HI",38461
"Pittsburgh, PA",38400
