Company,Revenue compound annual growth rate (CAGR)
Konfío | Red Amigo DAL (Mexico),185.7%
Coderhouse (Argentina),155.4%
Comparaguru México (Coru) (Mexico),109%
Zinobe (Colombia),108.3%
K-Supply Group (Colombia),105.1%
HTK Lentes Oftálmicas (Hayek Lentes) (Brazil),90.4%
Oftalmología de Alta Tecnología (Colombia),85.6%
Magnus Seguridad (Colombia),82.9%
CR Proyectos (Colombia),82.2%
American School Way (Colombia),79.3%
Bio Bolsa (Colombia),77.2%
Valemobi Consultoria Empresarial (Brazil),75.5%
Omega Geração (Brazil),73%
Calima Motor (Colombia),68.4%
Gupo Logístico Especializado (Colombia),64.7%
