State,Number of thefts
California,6913
Florida,4085
Texas,3165
South Carolina,1601
New York,1573
North Carolina,1506
Missouri,1349
Colorado,1219
Georgia,1076
Washington,1064
Maryland,1012
Indiana,974
Virginia,871
Pennsylvania,871
Ohio,855
Arizona,838
Massachusetts,788
Tennessee,736
Michigan,710
Arkansas,669
New Jersey,646
Kentucky,629
Nevada,625
Oregon,614
Oklahoma,548
Illinois,535
Alabama,533
Louisiana,498
Kansas,458
Minnesota,443
New Mexico,419
Connecticut,412
Iowa,333
Utah,316
District of Columbia,235
Hawaii,221
Wisconsin,198
West Virginia,198
Mississippi,197
Rhode Island,135
Nebraska,113
Idaho,105
Montana,95
Delaware,93
Alaska,75
New Hampshire,74
South Dakota,69
North Dakota,65
Maine,33
Wyoming,23
Vermont,17
