Year,Life expectancy in years
2020,64.28
2015,62.32
2010,59.63
2005,57.0
2000,54.67
1995,51.96
1990,48.56
1985,44.97
1980,41.63
1975,38.74
1970,36.15
1965,33.74
1960**,31.13
1955,28.61
1950,31.88
1945,31.62
1940,31.32
1935,31.08
1930,30.78
1925,30.52
1920,25.76
1915,29.94
1910,29.68
1905,29.4
1900,29.12
1895,28.82
1890,28.54
1885,28.24
1880,27.96
1875,27.68
1870,27.5
1865,27.58
1860,27.6
1855,27.7
1850,27.7
1845,27.8
1840,27.8
1835,27.9
1830,27.9
1825,28.0
1820,28.02
1815,28.1
1810,28.12
1805,28.2
1800,28.2
