Year,GDP per capita in U.S. dollars
2025*,76475.0
2024*,73974.36
2023*,71537.73
2022*,69004.24
2021*,66144.14
2020*,63051.4
2019,65253.52
2018,63055.98
2017,60105.85
2016,58017.23
2015,56848.51
2014,55010.07
2013,53061.24
2012,51556.17
2011,49825.5
2010,48402.58
2009,47007.67
2008,48283.41
2007,47869.24
2006,46213.51
2005,44025.56
2004,41629.86
2003,39411.55
2002,37971.28
2001,37101.1
2000,36317.74
1999,34494.54
1998,32833.67
1997,31440.09
1996,29946.97
1995,28671.48
1994,27674.02
1993,26364.19
1992,25392.93
1991,24302.78
1990,23847.98
1989,22814.08
1988,21376.0
1987,20000.97
1986,19034.77
1985,18199.32
