Response,Percentage of respondents
Workstations and servers,84%
Organization’s network,78%
Cybersecurity policies and procedures (and  documentation),75%
Inventory of assets,74%
Physical security,73%
Clinical information systems (including electronic health record systems),71%
Business and financial systems,69%
Cybersecurity roles and responsibilities,69%
Organizational website,58%
Communications plan,57%
Third party risks,50%
Medical devices,47%
"Comprehensive (i.e., end-to-end)",37%
Other,1.6%
Does not apply – no security risk assessment conducted,4%
Don’t know,5%
