Year,GDP per capita in U.S. dollars
2025*,532.96
2024*,517.74
2023*,502.83
2022*,489.99
2021*,477.89
2020*,456.89
2019,508.95
2018,495.64
2017,407.71
2016,409.05
2015,435.98
2014,425.33
2013,398.63
2012,346.38
2011,318.05
2010,275.67
2009,252.44
2008,272.14
2007,240.34
2006,216.82
2005,187.19
2004,172.83
2003,159.64
2002,165.76
2001,165.27
2000,397.03
1999,410.45
1998,461.12
1997,642.73
1996,731.02
1995,584.27
1994,621.05
1993,1182.37
1992,935.23
1991,1070.24
1990,1138.48
1989,1135.11
1988,1152.29
1987,1027.35
1986,1120.94
1985,1032.03
