oil company,Capacity in thousand barrels per day
Replan - Refinaria de Paulínia*,434.0
Rlam - Refinaria Landulpho Alves*,377.39
Revap - Refinaria Henrique Lage*,251.59
Reduc - Refinaria Duque de Caxias*,251.59
Refap - Refinaria Alberto Pasqualini S.A.*,220.14
Repar - Refinaria Presidente Getúlio Vargas*,213.85
RPBC - Refinaria Presidente Bernardes*,179.18
Regap - Refinaria Gabriel Passos*,166.05
Rnest - Refinaria Abreu e Lima*,115.01
Recap - Refinaria de Capuava*,62.9
Reman - Refinaria Isaac Sabbá*,45.92
RPCC - Refinaria Potiguar Clara Camarão*,44.66
Riograndense - Refinaria de Petróleo Riograndense S.A.,17.01
Lubnor - Lubrificantes e Derivados de Petróleo do Nordeste*,10.38
Manguinhos - Refinaria de Petróleos de Manguinhos S.A.,10.0
Univen - Univen Refinaria de Petróleo Ltda.,5.16
FASF - Rlam Fábrica de Asfalto**,3.77
Dax Oil - Dax Oil Refino S.A.,2.1
