Year,GDP per capita in U.S. dollars
2025*,26618.34
2024*,25794.62
2023*,25060.39
2022*,24382.65
2021*,23710.38
2020*,22877.59
2019,25997.58
2018,25419.5
2017,24427.58
2016,22641.28
2015,22659.37
2014,25398.32
2013,25965.31
2012,25434.45
2011,24080.43
2010,20827.72
2009,19465.29
2008,23236.06
2007,20908.34
2006,19267.57
2005,17966.22
2004,15963.98
2003,14486.06
2002,13501.55
2001,13894.34
2000,14214.58
1999,12210.22
1998,11565.97
1997,12422.12
1996,12298.65
1995,12143.09
1994,11777.07
1993,11290.27
1992,10536.82
1991,10252.37
1990,10179.63
1989,9668.04
1988,9602.79
1987,8049.36
1986,7695.81
1985,10182.37
