Household Expenditure,Average expenditure in Canadian dollars
Shelter,17526
Income taxes,15016
Transportation,13302
Food expenditures,9143
Personal insurance payments and pension contributions,5554
Household operations,5109
Recreation,4923
Clothing and accessories,3310
Health care,2630
Household furnishings and equipment,2542
"Gifts of money, support payments and charitable contributions",2391
Tobacco products and alcoholic beverages,1837
Miscellaneous expenditures,1769
Education,1434
Personal care,1126
Games of chance,293
Reading materials and other printed matter,173
