Year,Number of confirmed cases
1/7/2021,4951
1/6/2021,5719
1/5/2021,4729
1/4/2021,3130
1/3/2021,3034
1/2/2021,1194
1/1/2021,3938
12/31/2020,4322
12/30/2020,4875
12/29/2020,4637
12/28/2020,2620
12/27/2020,2049
12/26/2020,1387
12/25/2020,3812
12/24/2020,4310
12/23/2020,5459
12/22/2020,5009
12/21/2020,2489
12/20/2020,3350
12/19/2020,5158
12/18/2020,5340
12/17/2020,5697
12/16/2020,5991
12/15/2020,6171
12/14/2020,3252
12/13/2020,4435
12/12/2020,6333
12/11/2020,6460
12/10/2020,7067
12/9/2020,7365
12/8/2020,7439
12/7/2020,3660
12/6/2020,5231
12/5/2020,8072
12/3/2020,7661
12/2/2020,4916
12/1/2020,4272
11/30/2020,3826
11/29/2020,5554
11/28/2020,8134
11/27/2020,8499
11/26/2020,9005
11/25/2020,9739
11/24/2020,7753
11/23/2020,4207
11/22/2020,5837
11/20/2020,9272
11/19/2020,10108
11/18/2020,10269
11/17/2020,8262
11/16/2020,4931
11/15/2020,7096
11/14/2020,9469
11/12/2020,10142
11/11/2020,9799
11/10/2020,7304
11/9/2020,3240
11/8/2020,6752
11/7/2020,9937
11/6/2020,10260
11/5/2020,9714
11/4/2020,8651
11/3/2020,7733
11/2/2020,4041
11/1/2020,5342
10/31/2020,5753
10/30/2020,6546
10/29/2020,6481
10/28/2020,5343
10/27/2020,4724
10/26/2020,2844
10/25/2020,3855
10/24/2020,4761
10/23/2020,5028
10/22/2020,4902
10/21/2020,4848
10/20/2020,3400
10/19/2020,2466
10/18/2020,3920
10/17/2020,3952
10/16/2020,4026
10/15/2020,4013
10/14/2020,4016
10/13/2020,3109
10/12/2020,2069
10/11/2020,2880
10/10/2020,3517
10/9/2020,3186
10/8/2020,3130
10/7/2020,2958
10/6/2020,2121
10/5/2020,1591
10/4/2020,1835
10/3/2020,2064
10/2/2020,2343
10/1/2020,2086
9/29/2020,1470
9/27/2020,1438
9/25/2020,1629
9/23/2020,1767
9/21/2020,808
9/19/2020,1333
9/17/2020,1679
9/15/2020,1111
9/13/2020,1109
9/11/2020,1391
9/9/2020,1271
9/7/2020,883
9/5/2020,1269
9/3/2020,1365
9/1/2020,1053
8/30/2020,952
8/28/2020,1318
8/26/2020,1256
8/24/2020,825
8/22/2020,1189
8/20/2020,1346
8/18/2020,1014
8/16/2020,1087
8/14/2020,1415
8/12/2020,1415
8/10/2020,779
8/8/2020,1350
8/6/2020,1345
8/4/2020,1232
8/2/2020,1075
7/31/2020,1295
7/29/2020,1182
7/27/2020,1104
7/25/2020,1284
7/23/2020,1112
7/21/2020,994
7/19/2020,767
7/17/2020,799
7/15/2020,641
7/13/2020,413
7/11/2020,698
7/9/2020,614
7/7/2020,397
7/5/2020,391
7/3/2020,420
7/1/2020,326
