State,State score
Alabama,0.0
Alaska,0.5
Arizona,1.33
Arkansas,0.0
California,0.83
Colorado,1.45
Connecticut,2.8
Delaware,1.0
Florida,0.5
Georgia,0.0
Hawaii,2.35
Idaho,0.5
Illinois,2.85
Indiana,0.5
Iowa,0.5
Kansas,0.85
Kentucky,0.5
Louisiana,0.0
Maine,0.5
Maryland,0.63
Massachusetts,0.5
Michigan,0.5
Minnesota,3.53
Mississippi,0.5
Missouri,0.0
Montana,1.33
Nebraska,0.0
Nevada,0.73
New Hampshire,0.5
New Jersey,2.08
New Mexico,0.53
New York,1.05
North Carolina,0.19
North Dakota,0.5
Ohio,0.5
Oklahoma,0.5
Oregon,3.35
Pennsylvania,0.5
Rhode Island,0.5
South Carolina,0.5
South Dakota,0.0
Tennessee,0.0
Texas,0.0
Utah,0.5
Vermont,2.48
Virginia,0.5
Washington,3.5
"Washington, D.C.",4.0
West Virginia,0.0
Wisconsin,0.5
Wyoming,0.5
