association football club,Soccer Power Index
Bayern Munich,94.0
Manchester City,92.0
Paris Saint-Germain,90.6
Barcelona,89.6
Liverpool,88.8
Real Madrid,88.6
Atletico Madrid,86.6
RB Leipzig,86.2
Borussia Dortmund,85.6
Internazionale,83.9
Chelsea,83.7
Manchester United,82.0
Napoli,81.9
Sevilla FC,81.6
Juventus,81.5
RB Salzburg,81.1
AC Milan,80.7
Tottenham Hotspur,80.6
Real Sociedad,80.6
Atalanta,79.0
Arsenal,78.9
Bayer Leverkusen,78.8
Leicester City,78.7
Zenit St. Petersburg,78.6
Borussia Mönchengladbach,77.4
Everton,76.8
Benfica,76.4
Lyon,76.3
Villarreal,76.1
FC Porto,75.8
Wolverhampton Wanderers,75.8
Getafe,75.5
AS Roma,75.3
Olympiacos,75.2
Shakhtar Donetsk,75.1
Ajax,74.5
West Ham,74.1
Aston Villa,73.9
Eintracht Frankfurt,73.4
Lille,73.1
Hoffenheim,73.1
Southampton,73.0
Granada,72.2
VfL Wolfsburg,72.2
Real Betis,71.6
Brighton,71.5
Celta Vigo,71.0
Flamengo,70.5
Lazio,70.5
Club Brugge,70.0
Athletic Bilbao,69.8
