Month,House price index in index points
Oct '20,128.73
Sep '20,127.79
Aug '20,125.92
Jul '20,124.52
Jun '20,123.27
May '20,121.26
Apr '20,120.75
Mar '20,122.29
Feb '20,121.04
Jan '20,121.74
Dec '19,121.61
Nov '19,122.31
Oct '19,122.6
Sep '19,122.46
Jul '19,122.08
Jun '19,120.73
May '19,120.23
Apr '19,120.0
Mar '19,119.11
Feb '19,119.44
Jan '19,119.75
Dec '18,120.49
Nov '18,120.75
Oct '18,121.27
Sep '18,121.39
Aug '18,121.63
Jul '18,121.25
Jun '18,119.77
May '18,118.97
Apr '18,118.49
Mar '18,117.36
Feb '18,118.08
Jan '18,117.77
Dec '17,118.18
Nov '17,117.72
Oct '17,118.06
Sep '17,117.95
Aug '17,118.4
Jul '17,117.86
Jun '17,116.35
May '17,115.36
Apr '17,114.67
Mar '17,112.89
Feb '17,113.13
Jan '17,112.89
Dec '16,113.03
Nov '16,112.82
Oct '16,112.29
Sep '16,112.67
Aug '16,112.84
Jul '16,112.83
Jun '16,111.65
May '16,110.6
Apr '16,109.32
Mar '16,108.92
Feb '16,107.81
Jan '16,107.76
Dec '15,107.48
Nov '15,107.11
Oct '15,106.29
Sep '15,106.15
Aug '15,105.93
Jul '15,104.97
Jun '15,103.22
May '15,102.44
Apr '15,101.34
Mar '15,100.46
Feb '15,100.09
Jan '15,100.0
