Year,Inflation rate compared to previous year
2025*,3.31%
2024*,3.31%
2023*,3.31%
2022*,3.31%
2021*,3.16%
2020*,2.91%
2019*,2.76%
2018,3.98%
2017,3.6%
2016,4.09%
2015,3.13%
2014,5.03%
2013,2.68%
2012,3.68%
2011,8.25%
2010,4.64%
2009,2.59%
2008,10.16%
2007,8.13%
2006,9.6%
2005,6.79%
2004,4.33%
2003,12.23%
2002,10.51%
2001,7.27%
2000,8.98%
1999,6.75%
1998,11.55%
1997,6.95%
1996,9.8%
1995,13.39%
1994,20.6%
1993,18.28%
1992,15.11%
1991,24.28%
1990,38.16%
1989,25.59%
1988,22.59%
1987,21.66%
1986,31.7%
1985,24.85%
