State,Index points*
Louisiana,4.05
Tennessee,3.41
Nevada,3.37
Florida,3.36
Arizona,3.22
Missouri,3.21
Texas,3.2
Arkansas,3.2
South Carolina,3.18
Mississippi,3.17
Alabama,3.17
Delaware,3.15
Maryland,3.14
Oklahoma,3.11
Georgia,3.04
Illinois,2.89
New Mexico,2.85
Alaska,2.75
California,2.74
New York,2.72
North Carolina,2.71
Michigan,2.69
New Jersey,2.63
Kansas,2.57
Colorado,2.53
Virginia,2.48
Pennsylvania,2.37
Indiana,2.35
Ohio,2.33
Kentucky,2.32
South Dakota,2.32
Wisconsin,2.3
Montana,2.27
Wyoming,2.26
Idaho,2.23
West Virginia,2.2
Connecticut,2.19
Oregon,2.07
Massachusetts,2.0
Nebraska,1.93
Iowa,1.87
Rhode Island,1.79
Washington,1.78
Hawaii,1.78
North Dakota,1.74
Utah,1.72
Minnesota,1.61
New Hampshire,1.55
Vermont,1.55
Maine,1.31
