county of California,Median household income in U.S. dollars
"San Jose-Sunnyvale-Santa Clara, CA","130,865$"
"San Francisco-Oakland-Berkeley, CA","114,696$"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","105,659$"
"Bridgeport-Stamford-Norwalk, CT","97,053$"
"Boston-Cambridge-Newton, MA-NH","94,430$"
"Seattle-Tacoma-Bellevue, WA","94,027$"
"Napa, CA","92,769$"
"Oxnard-Thousand Oaks-Ventura, CA","92,236$"
"Santa Cruz-Watsonville, CA","89,269$"
"Boulder, CO","88,535$"
"California-Lexington Park, MD","87,947$"
"Santa Rosa-Petaluma, CA","87,828$"
"Urban Honolulu, HI","87,470$"
"Vallejo, CA","86,652$"
"Denver-Aurora-Lakewood, CO","85,641$"
"Poughkeepsie-Newburgh-Middletown, NY","85,152$"
"Barnstable Town, MA","85,042$"
"San Diego-Chula Vista-Carlsbad, CA","83,985$"
"Minneapolis-St. Paul-Bloomington, MN-WI","83,698$"
"Manchester-Nashua, NH","83,626$"
