Response,Share of gross domestic product
Manufacturing,19.7%
"Wholesale and retail trade, repair of motor vehicles and motorcycles",13%
"Agriculture, forestry and fishing",12.7%
Construction,10.8%
Mining and quarrying,7.3%
Transportation and storage,5.6%
Financial and insurance activities,4.2%
Information and communication,4%
"Public administration and defence, compulsory social security",3.6%
Education,3.3%
Real estate activities,2.8%
Accommodation and food service activities,2.8%
Other services activities,2%
Business activities,1.9%
Electricity and gas,1.2%
Human health and social work activities,1.1%
"Water, sewage and waste management",0.1%
