Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",111.23
Professional and business services,98.86
Government and government enterprises,55.52
"Educational services, health care, and social assistance",54.14
Manufacturing,50.52
Wholesale trade,46.61
Retail trade,35.49
Information,30.3
Transportation and warehousing,20.42
Construction,18.14
"Arts, entertainment, recreation, accommodation, and food services",17.4
Utilities,8.7
"Agriculture, forestry, fishing, and hunting",1.29
"Mining, quarrying, and oil and gas extraction",0.39
