Year,IPSA Index in Chilean pesos
10/15/20,3661.72
10/01/20,3635.47
09/30/20,3637.3
09/15/20,3721.71
09/01/20,3752.95
08/31/20,3767.15
08/14/20,4017.11
08/03/20,3946.52
07/30/20,3953.3
07/15/20,4041.62
07/01/20,4037.07
06/30/20,3959.02
06/16/20,3939.79
06/01/20,3685.72
05/29/20,3647.6
05/15/20,3622.15
05/04/20,3853.27
04/30/20,3977.56
04/15/20,3854.71
04/07/20,3711.66
04/06/20,3748.47
04/03/20,3674.43
04/02/20,3559.25
04/01/20,3421.39
03/31/20,3487.49
03/30/20,3316.27
03/27/20,3228.37
03/26/20,3214.57
03/25/20,3123.13
03/24/20,2894.74
03/23/20,2897.83
03/20/20,3077.18
03/19/20,3081.43
03/18/20,2876.03
03/17/20,3271.4
03/16/20,3232.36
03/13/20,3763.57
03/12/20,3727.6
03/11/20,3979.67
03/10/20,4070.29
03/09/20,4035.54
03/06/20,4229.46
03/05/20,4324.09
03/04/20,4366.36
03/03/20,4289.4
03/02/20,4283.63
02/28/20,4122.63
02/27/20,4263.24
02/26/20,4297.7
02/25/20,4361.41
02/24/20,4430.63
02/21/20,4532.61
02/20/20,4536.05
02/19/20,4519.19
