Year,Inflation rate compared to previous year
2025*,4.01%
2024*,4.03%
2023*,5.12%
2022*,7.43%
2021*,8.24%
2020*,9.99%
2019,7.88%
2018,7.61%
2017,6.22%
2016,9.64%
2015,8.67%
2014,8.88%
2013,8.58%
2012,8.1%
2011,8.09%
2010,6.7%
2009,7.06%
2008,7.88%
2007,8.12%
2006,6.4%
2005,4.7%
2004,9.16%
2003,19.38%
2002,13.97%
2001,4.37%
2000,4.76%
1999,5.66%
1998,10.81%
1997,19.82%
1996,28.34%
1995,42.25%
1994,44.74%
1993,54.08%
1992,68.46%
1991,101.97%
1990,112.53%
1989,80.45%
1988,62.19%
1987,63.57%
1986,76.38%
1985,72.22%
