business school,Salary in thousand U.S. dollars
"Stanford - Palo Alto, CA",255
"Harvard - Boston, MA",239
"Northwestern (Kellogg) - Evanston, IL",188
"Columbia - New York, NY",208
"Dartmouth (Tuck) - Hanover, NH",190
"Chicago (Booth) - Chicago, IL",200
"Pennsylvania (Wharton) - Philadelphia, PA",207
"UC Berkeley (Haas) - Berkeley, CA",180
"MIT (Sloan) - Cambridge, MA",200
"Cornell (Johnson) - Ithaca, NY",150
"Yale - New Haven, CT",188
"Duke (Fuqua) - Durham, NC",160
"UNC (Kenan-Flagler) - Chapel Hill, NC",145
"Texas-Austin (McCombs) - Austin, TX",152
"Michigan (Ross) - Ann Arbor, MI",168
"Virginia (Darden) - Charlottesville, VA",170
"UCLA (Anderson) - Los Angeles, CA",160
"NYU (Stern) - New York, NY",164
"Carnegie Mellon (Tepper) - Pittsburgh, PA",151
"Indiana (Kelley) - Bloomington, IN",130
