Month,House price index (2015=100)
Aug '20,123.08
Jul '20,122.5
Jun '20,123.13
May '20,121.46
Apr '20,121.08
Mar '20,123.09
Feb '20,121.09
Jan '20,121.58
Dec '19,120.65
Nov '19,120.55
Oct '19,120.52
Sep '19,120.57
Aug '19,120.06
Jul '19,119.93
Jun '19,119.71
May '19,119.62
Apr '19,119.51
Mar '19,119.68
Feb '19,119.59
Jan '19,119.56
Dec '18,119.63
Nov '18,119.78
Oct '18,119.75
Sep '18,119.51
Aug '18,119.32
Jul '18,119.04
Jun '18,118.71
May '18,118.4
Apr '18,118.33
Mar '18,117.65
Feb '18,118.2
Jan '18,117.57
Dec '17,117.25
Nov '17,116.75
Oct '17,116.64
Sep '17,116.14
Aug '17,115.97
Jul '17,115.43
Jun '17,114.96
May '17,114.42
Apr '17,113.9
Mar '17,113.43
Feb '17,113.15
Jan '17,112.65
Dec '16,112.19
Nov '16,111.83
Oct '16,111.12
Sep '16,110.73
Aug '16,110.45
Jul '16,110.51
Jun '16,110.31
May '16,109.72
Apr '16,108.87
Mar '16,109.1
Feb '16,108.15
Jan '16,107.71
Dec '15,106.74
Nov '15,106.19
Oct '15,105.2
Sep '15,104.31
Aug '15,103.62
Jul '15,102.86
Jun '15,101.96
May '15,101.6
Apr '15,100.89
Mar '15,100.78
Feb '15,100.44
Jan '15,100.0
