Month,Units sold
Dec 19,3941
Nov 19,4198
Oct 19,3721
Sep 19,8803
Aug 19,1268
Jul 19,4288
Jun 19,5260
May 19,4554
Apr 19,3971
Mar 19,10420
Feb 19,1705
Jan 19,4079
Dec 18,3840
Nov 18,4435
Oct 18,4538
Sep 18,8461
Aug 18,1059
Jul 18,4381
Jun 18,4545
May 18,3621
Apr 18,3782
Mar 18,8237
Feb 18,1150
Jan 18,2270
Dec 17,3195
Nov 17,3068
Oct 17,3302
Sep 17,7865
Aug 17,786
Jul 17,3404
Jun 17,5018
May 17,3184
Apr 17,2735
Mar 17,9710
Feb 17,1077
Jan 17,2795
Dec 16,3736
Nov 16,4072
Oct 16,4027
Sep 16,7827
Aug 16,776
Jul 16,3629
